"","AGENCYNAME","SOURCE","AGENCYUNIQ","LASTMODIFI","MODIFIEDBY","SOURCECOMM","Date_Data_","Shape_STAr","Shape_STLe"
"655","Green Valley Corporation (5211)","NorCal All",1089,"2010/03/16","source",NA,"2010/03/16",2070714.30812,7252.42338536
"656","Griffin, Joseph, And Prater, Sharon","NorCal All",1101,"2010/03/16","source",NA,"2010/03/16",2570366.51425,9351.57836771
"657","Hale, Judith And Marks, Alice (1638)","NorCal All",1119,"2010/03/16","source",NA,"2010/03/16",133924.376095,1726.27370179
"658","Hale, Judith And Marks, Alice (7572)","NorCal All",1120,"2010/03/16","source",NA,"2010/03/16",266810.136683,2366.8580602
"659","Heidrick, Joe Jr.","NorCal All",1149,"2010/03/16","source",NA,"2010/03/16",332207.774641,2446.38507464
"660","Heidrick, Mildred (1616)","NorCal All",1150,"2010/03/16","source",NA,"2010/03/16",195065.314273,2114.26550048
"661","Heidrick, Mildred (8322)","NorCal All",1151,"2010/03/16","source",NA,"2010/03/16",973590.04753,6475.6064385
"662","Henle, Thomas N.","NorCal All",1159,"2010/03/16","source",NA,"2010/03/16",1620149.00959,5894.07319621
"663","Hershey Land Company","NorCal All",1164,"2010/03/16","source",NA,"2010/03/16",3406177.65022,9157.40963477
"664","Hiatt, Thomas And Illerich, Phillip","NorCal All",1169,"2010/03/16","source",NA,"2010/03/16",457519.210391,3333.3499838
"665","Hiatt, Thomas (Haitt Family Trust)","NorCal All",1168,"2010/03/16","source",NA,"2010/03/16",1184455.85386,6005.18016087
"666","Holthouse Water District","NorCal All",1190,"2010/03/16","source",NA,"2010/03/16",306777.796076,10208.6699186
"667","Holthouse Water District","NorCal All",1190,"2010/03/16","source",NA,"2010/03/16",35490.3957272,2950.79468777
"668","Holthouse Water District","NorCal All",1190,"2010/03/16","source",NA,"2010/03/16",160206.081005,1601.12464731
"669","Holthouse Water District","NorCal All",1190,"2010/03/16","source",NA,"2010/03/16",456596.67745,2768.76611639
"670","Holthouse Water District","NorCal All",1190,"2010/03/16","source",NA,"2010/03/16",352093.807993,12013.8257937
"671","Howald Farms","NorCal All",1205,"2010/03/16","source",NA,"2010/03/16",2136750.09423,7676.76945629
"672","Howard, Theodore W. And Linda M.","NorCal All",1206,"2010/03/16","source",NA,"2010/03/16",133532.090946,1737.77192522
"673","J.B. Unlimited","NorCal All",1252,"2010/03/16","source",NA,"2010/03/16",616413.862015,4194.42095477
"674","Jansen, Peter And Sandy","NorCal All",1260,"2010/03/16","source",NA,"2010/03/16",292464.113451,2884.72901292
"675","Shasta County County Service Area No 6 Jones Valley","NorCal All",2270,"2010/03/16","source",NA,"2010/03/16",266978.187653,9905.69666471
"676","Kary, Carol","NorCal All",1277,"2010/03/16","source",NA,"2010/03/16",1274203.81062,7271.9611739
"677","Shasta County County Service Area No 25 Keswick","NorCal All",2268,"2010/03/16","source",NA,"2010/03/16",778289.564232,20867.7509212
"678","King, Benjamin And Laura","NorCal All",1292,"2010/03/16","source",NA,"2010/03/16",2003.8424263,224.146713286
"679","Kirkwood Water District","NorCal All",1306,"2010/03/16","source",NA,"2010/03/16",45098.3036728,6915.83061435
"680","Kirkwood Water District","NorCal All",1306,"2010/03/16","source",NA,"2010/03/16",3974.36579895,1840.43416192
"681","Klsy LLC","NorCal All",1314,"2010/03/16","source",NA,"2010/03/16",245783.049583,2030.5960159
"682","Knaggs Walnut Ranches","NorCal All",2822,"2010/03/16","source",NA,"2010/03/16",1002583.68794,4292.08743589
"683","La Grande Water District","NorCal All",1323,"2010/03/16","source",NA,"2010/03/16",5492.50140381,4756.68309659
"684","Lake California Property Owners Association","NorCal All",1346,"2010/03/16","source",NA,"2010/03/16",461092.786777,10459.1131992
"685","Lauppe, Burton And Kathryn (1289)","NorCal All",1393,"2010/03/16","source",NA,"2010/03/16",1096735.69297,4324.61507112
"686","Lauppe, Burton And Kathryn (1364)","NorCal All",1394,"2010/03/16","source",NA,"2010/03/16",686131.712725,3433.47227577
"687","Leiser, Dorothy L.","NorCal All",1410,"2010/03/16","source",NA,"2010/03/16",72839.0547905,1164.85599896
"688","Leviathan","NorCal All",1420,"2010/03/16","source",NA,"2010/03/16",673156.638702,4785.19028411
"689","Lockett, William And Jean","NorCal All",1448,"2010/03/16","source",NA,"2010/03/16",721071.065351,3370.93993902
"690","Locvich, Loyd","NorCal All",1449,"2010/03/16","source",NA,"2010/03/16",313862.445089,3431.17920166
"691","Lomo Cold Storage And Michelli, Justin","NorCal All",1457,"2010/03/16","source",NA,"2010/03/16",211330.887762,24258.4257619
"692","Lonon, Michael E.","NorCal All",1468,"2010/03/16","source",NA,"2010/03/16",1099201.45385,5359.0158795
"693","Maine Prairie Water District","NorCal All",1527,"2010/03/16","source",NA,"2010/03/16",1082.72811413,35567.9058309
"694","Maine Prairie Water District","NorCal All",1527,"2010/03/16","source",NA,"2010/03/16",53.1141839027,7301.75017419
"695","Maxwell Irrigation District","NorCal All",1561,"2010/03/16","source",NA,"2010/03/16",96641.6718807,8520.79533773
"696","McLane, Robert And Naomi","NorCal All",1571,"2010/03/16","source",NA,"2010/03/16",58941.621994,974.904913437
"697","Mclaughlin, Jack E. And Margery L.","NorCal All",1572,"2010/03/16","source",NA,"2010/03/16",652727.124603,4030.77348296
"698","MCM Properties","NorCal All",1573,"2010/03/16","source",NA,"2010/03/16",846522.270484,4965.88066667
"699","Mehrhof, Susan And Montgomery, John","NorCal All",1580,"2010/03/16","source",NA,"2010/03/16",289269.935923,2312.13124303
"700","Meyer Crest","NorCal All",1601,"2010/03/16","source",NA,"2010/03/16",6254.26208878,443.442040714
"701","Meyer Crest","NorCal All",1601,"2010/03/16","source",NA,"2010/03/16",35055.7170906,730.048710355
"702","Meyer Crest","NorCal All",1601,"2010/03/16","source",NA,"2010/03/16",61580.187027,1378.48886678
"703","Micke, Daniel And Nina","NorCal All",1603,"2010/03/16","source",NA,"2010/03/16",160257.661125,1602.34146321
"704","Mountain Gate Community Services District","NorCal All",1668,"2010/03/16","source",NA,"2010/03/16",187189.358772,22178.5722729
"705","Munson, James T. And Dalmira","NorCal All",1685,"2010/03/16","source",NA,"2010/03/16",343269.840594,2447.5386095
"706","Myers-marsh Mutual Water Company","NorCal All",1696,"2010/03/16","source",NA,"2010/03/16",1127015.27678,4536.02144293
"707","Naines, Ronald","NorCal All",1699,"2010/03/16","source",NA,"2010/03/16",18060.1610346,856.26745761
"708","Napa - Berryessa Resort Improvement","NorCal All",1700,"2010/03/16","source",NA,"2010/03/16",1274962.38518,24609.8772927
"709","Natomas Basin Conservancy","NorCal All",1709,"2010/03/16","source",NA,"2010/03/16",729521.783298,4186.75505423
"710","Natomas Municipal And Industrial","NorCal All",1711,"2010/03/16","source",NA,"2010/03/16",12810410.1193,26727.659574
"711","Nelson, Thomas L. And Hazel M.","NorCal All",1715,"2010/03/16","source",NA,"2010/03/16",286961.050982,2263.80245788
"712","Nene Ranch","NorCal All",1716,"2010/03/16","source",NA,"2010/03/16",1516990.56913,9327.58223108
"713","Obrien, Frank And Janice","NorCal All",1773,"2010/03/16","source",NA,"2010/03/16",1470526.38697,5822.61747811
"714","Odysseus Farms","NorCal All",1780,"2010/03/16","source",NA,"2010/03/16",3652803.1494,9837.12397651
"715","Odysseus Farms Partnership","NorCal All",1781,"2010/03/16","source",NA,"2010/03/16",511874.055195,3307.84015329
"716","Oji, Mitsue, Family Partnership","NorCal All",1784,"2010/03/16","source",NA,"2010/03/16",3642479.3977,14735.7062544
"717","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",204630.426432,13906.8716443
"718","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",161278.14102,5205.23640192
"719","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",3364502.55486,36904.074995
"720","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",16704.3154678,1469.06880552
"721","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",146987.272118,2888.08612498
"722","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",22867.0135078,4306.29595111
"723","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",556469.44566,2972.70538053
"724","Orland Unit Water Users Association","NorCal All",1813,"2010/03/16","source",NA,"2010/03/16",11013770.2838,91898.6804365
"725","Orlando, Robert R and Vincent T.","NorCal All",1814,"2010/03/16","source",NA,"2010/03/16",4728.18744755,451.669263755
"726","Otterson, Mike (Wells, Joyce)","NorCal All",1822,"2010/03/16","source",NA,"2010/03/16",1726637.9987,7868.12820452
"727","Pacific Realty Associates  (M & T Chico Ranch)","NorCal All",1834,"2010/03/16","source",NA,"2010/03/16",3954445.0933,38092.0686916
"728","Penner, Roger And Leona","NorCal All",1885,"2010/03/16","source",NA,"2010/03/16",208536.941757,2793.79628004
"729","Petsas, Nick","NorCal All",1895,"2010/03/16","source",NA,"2010/03/16",203021.306168,3685.20989799
"730","Pires, Lawrence And Beverly","NorCal All",1922,"2010/03/16","source",NA,"2010/03/16",499633.515816,4416.51259661
"731","Placer County Water Agency","NorCal All",1927,"2015/12/03","WARNOLD",NA,"2010/03/16",516862503.181,303662.818233
"732","Porteous, Lewis G. and Wilma G.","NorCal All",1955,"2010/03/16","source",NA,"2010/03/16",17677.2318726,538.258114787
"733","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",187028.928181,2617.79017048
"734","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",414366.972141,3245.0377802
"735","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",44846.3820381,5419.08917585
"736","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",1137797.71866,7785.6262169
"737","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",5804.53133774,1629.27127273
"738","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",2560706.92897,40158.4958358
"739","Proberta Water District","NorCal All",1971,"2010/03/16","source",NA,"2010/03/16",72383.4537811,10340.2706918
"740","Proberta Water District","NorCal All",1971,"2010/03/16","source",NA,"2010/03/16",9367.67608643,2932.70147547
"741","Provident Irrigation District","NorCal All",1972,"2010/03/16","source",NA,"2010/03/16",2584735.86624,9922.25347422
"742","Provident Irrigation District - Willow Creek","NorCal All",1973,"2010/03/16","source",NA,"2010/03/16",25247.4389839,6834.17797243
"743","Quad-H Ranches","NorCal All",1980,"2010/03/16","source",NA,"2010/03/16",342361.337337,2438.2793371
"744","R And J Anderson Properties","NorCal All",1987,"2010/03/16","source",NA,"2010/03/16",403724.658791,3532.80261764
"745","Rauf, Abdul And Tahmina (formerly Forster, R. And J.)","NorCal All",2016,"2010/03/16","source",NA,"2010/03/16",2035523.19099,9580.05262858
"746","Redding Rancheria Tribe","NorCal All",2034,"2010/03/16","source",NA,"2010/03/16",278824.111835,2399.00379791
"747","Reische, Eric","NorCal All",2044,"2010/03/16","source",NA,"2010/03/16",89867.089592,1531.96578645
"748","Reische, Laverne","NorCal All",2045,"2010/03/16","source",NA,"2010/03/16",386339.307644,2511.03110112
"749","Richter, Henry D. Et Al","NorCal All",2053,"2010/03/16","source",NA,"2010/03/16",2395397.28363,8431.6724792
"750","Riverby Limited","NorCal All",2825,"2010/03/16","source",NA,"2010/03/16",774546.523549,5192.90672982
"751","Riverview Golf And Country Club","NorCal All",2088,"2010/03/16","source",NA,"2010/03/16",57.3777122498,67.7069247584
"752","Roberts Ditch Irrigation Company","NorCal All",2094,"2010/03/16","source",NA,"2010/03/16",431608.497293,9487.84291669
"753","Rubio, Exequiel And Elsa","NorCal All",2120,"2010/03/16","source",NA,"2010/03/16",27963.5081787,764.518917566
"754","Sacramento River Ranch","NorCal All",2139,"2010/03/16","source",NA,"2010/03/16",5189831.32117,13322.5867981
"755","Schreiner, Joe and Cleo","NorCal All",2826,"2010/03/16","source",NA,"2010/03/16",498910.543515,3226.46047587
"756","Seaver, Charles W. And Barbara J.","NorCal All",2243,"2010/03/16","source",NA,"2010/03/16",709608.842831,4368.94297189
"757","Shasta Community Services District","NorCal All",2265,"2010/03/16","source",NA,"2010/03/16",2688742.33798,14573.9462935
"758","Shasta County Water Agency","NorCal All",2271,"2010/03/16","source",NA,"2010/03/16",1561859735.87,722093.984938
"759","Shasta County Water Agency","NorCal All",2271,"2010/03/16","source",NA,"2010/03/16",1650965.0279,6103.17241422
"760","Shasta County Water Agency","NorCal All",2271,"2010/03/16","source",NA,"2010/03/16",66.441318512,3033.06361817
"761","Shasta County County Service Area No 11 French Gulch","NorCal All",2266,"2010/03/16","source",NA,"2010/03/16",181451.667053,1707.60744287
"762","Shasta County Water Agency","NorCal All",2271,"2010/03/16","source",NA,"2010/03/16",153261.801258,1567.78297136
"763","Siddiqui, Javed And Amna (2065)","NorCal All",2281,"2010/03/16","source",NA,"2010/03/16",345515.035507,3692.0516833
"764","Siddiqui, Javed And Amna (7941)","NorCal All",2282,"2010/03/16","source",NA,"2010/03/16",1297529.08792,5122.12531025
"765","Silverthorn Summer Homes","NorCal All",2304,"2010/03/16","source",NA,"2010/03/16",27276.9843712,1715.49006409
"766","Solano Irrigation District - Quail Canyon","NorCal All",4448,"2015/11/10","WARNOLD","Georeferenced SID map & NAIP 2012 Aerial","2010/03/16",6089211.12087,23402.3696188
"767","Spanish Flat Water District","NorCal All",2355,"2010/03/16","source",NA,"2010/03/16",17.5775699615,456.954854889
"768","Spanish Flat Water District","NorCal All",2355,"2010/03/16","source",NA,"2010/03/16",29.9454278946,873.072550647
"769","Spanish Flat Water District","NorCal All",2355,"2010/03/16","source",NA,"2010/03/16",86.1953020096,2451.49806962
"770","Spanish Flat Water District","NorCal All",2355,"2010/03/16","source",NA,"2010/03/16",486.60984993,11722.4234903
"771","Spence, Ruthann","NorCal All",2357,"2010/03/16","source",NA,"2010/03/16",1132131.62477,6589.59315964
"772","Steidlmayer, Anthony E. Et Al","NorCal All",2375,"2010/03/16","source",NA,"2010/03/16",1093351.14498,7754.20293553
"773","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",427252.038471,19979.0190163
"774","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",148.130908966,2841.17570714
"775","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",63.4807929993,1972.20960484
"776","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",1164046.06635,16031.3539234
"777","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",39.3653106689,746.832766212
"778","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",235.899757385,2847.01697884
"779","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",72.518825531,1569.43499222
"780","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",162005.061211,1610.23805731
"781","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",116.205429077,6743.18526581
"782","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",269119.51614,4586.69441865
"783","Sycamore Family Trust","NorCal All",2439,"2010/03/16","source",NA,"2010/03/16",34000237.1594,41042.5257354
"784","Tarke, Stephen E. And Debra F.","NorCal All",2449,"2010/03/16","source",NA,"2010/03/16",2301206.05963,8302.72753572
"785","Tenhunfeld, Fred, Wallace Jack, Et Al","NorCal All",2458,"2010/03/16","source",NA,"2010/03/16",3185475.24907,13428.7136066
"786","Thomes Creek Water District","NorCal All",2468,"2010/03/16","source",NA,"2010/03/16",606008.515202,12065.404025
"787","Thomes Creek Water District","NorCal All",2468,"2010/03/16","source",NA,"2010/03/16",375.057174683,536.434804174
"788","Tuttle, Charles W. And Noack, Sue T.","NorCal All",2529,"2010/03/16","source",NA,"2010/03/16",537594.246529,3455.70276776
"789","US Forest Service - Centimudi Marina","NorCal All",2559,"2010/03/16","source",NA,"2010/03/16",32745.6088715,1195.90352308
"790","US Forest Service - Salt Creek","NorCal All",2573,"2010/03/16","source",NA,"2010/03/16",99577.2860451,1414.31526413
"791","Wakida, Tomio (1415)","NorCal All",2652,"2010/03/16","source",NA,"2010/03/16",614058.129756,3136.79921328
"792","Wakida, Tomio (5200)","NorCal All",2653,"2010/03/16","source",NA,"2010/03/16",326044.707047,2431.30461234
"793","Wallace, Kenneth L. Living Trust","NorCal All",2656,"2010/03/16","source",NA,"2010/03/16",721920.323975,3891.09991124
"794","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",1245284.20162,4716.00969267
"795","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",4579160.45314,12149.7828333
"796","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",3627028.52818,64340.4457529
"797","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",165499.710991,2064.545083
"798","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",444183.875526,2711.08208125
"799","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",313.670837402,701.250085736
"800","Westside Water District","NorCal All",2709,"2010/03/16","source",NA,"2010/03/16",343995.916529,3232.62635606
"801","Whitney Construction","NorCal All",2722,"2010/03/16","source",NA,"2010/03/16",3768456.84549,11551.572479
"802","Willey, Edwin A. And Marjorie E.","NorCal All",2731,"2010/03/16","source",NA,"2010/03/16",197711.269487,2214.21079035
"803","Wilson Ranch Partnership","NorCal All",2747,"2010/03/16","source",NA,"2010/03/16",650113.371344,3379.65669623
"804","Windswept Land And Livestock Company","NorCal All",2752,"2010/03/16","source",NA,"2010/03/16",3552302.39876,12283.5265657
"805","Wirth, Marilyn Lamb","NorCal All",2829,"2010/03/16","source",NA,"2010/03/16",563479.426692,3499.71273883
"806","Wisler, John W. Jr","NorCal All",2760,"2010/03/16","source",NA,"2010/03/16",95727.9292812,1252.04573816
"807","Young, Russel L., Et Al","NorCal All",2786,"2010/03/16","source",NA,"2010/03/16",30960.9703407,1426.8233367
"808","Zelmar Ranch","NorCal All",2796,"2010/03/16","source",NA,"2010/03/16",281444.464815,3006.89954491
"809","Capay Rancho Water District","NorCal All",472,"2010/03/16","source",NA,"2010/03/16",297430.142708,24368.5558551
"810","Deer Creek Irrigation District","NorCal All",2830,"2010/03/16","source",NA,"2010/03/16",8782399.41004,16247.1565773
"811","El Camino Irrigation District","NorCal All",811,"2010/03/16","source",NA,"2010/03/16",194694.286396,32840.300346
"812","Elder Creek Water District","NorCal All",831,"2010/03/16","source",NA,"2010/03/16",149724.345146,8886.61469484
"813","Elder Creek Water District","NorCal All",831,"2010/03/16","source",NA,"2010/03/16",550517.103359,8366.12421203
"814","Kirkwood Water District","NorCal All",1306,"2010/03/16","source",NA,"2010/03/16",653636.436531,3234.0854323
"815","Kirkwood Water District","NorCal All",1306,"2010/03/16","source",NA,"2010/03/16",4448424.42668,10027.0247062
"816","Los Molinos Mutual Water Company","NorCal All",2824,"2010/03/16","source",NA,"2010/03/16",67757105.3833,67230.3460127
"817","Proberta Water District","NorCal All",1971,"2010/03/16","source",NA,"2010/03/16",12948931.3289,22119.1273937
"818","Rawson Water District","NorCal All",2018,"2010/03/16","source",NA,"2010/03/16",19852.4494362,730.411824127
"819","Rawson Water District","NorCal All",2018,"2010/03/16","source",NA,"2010/03/16",54271.2795105,1217.17060837
"820","Rawson Water District","NorCal All",2018,"2010/03/16","source",NA,"2010/03/16",16383.2038422,856.240043621
"821","Rawson Water District","NorCal All",2018,"2010/03/16","source",NA,"2010/03/16",548930.310829,39802.9645222
"822","Rawson Water District","NorCal All",2018,"2010/03/16","source",NA,"2010/03/16",220521.36829,5621.66983773
"823","Stanford Vina Ranch Irrigation District","NorCal All",2827,"2010/03/16","source",NA,"2010/03/16",26233260.257,37110.0532424
"824","Tehama Ranch","NorCal All",2828,"2010/03/16","source",NA,"2010/03/16",1464742.73433,14127.8760948
"825","Thomes Creek Water District","NorCal All",2468,"2010/03/16","source",NA,"2010/03/16",2214286.81197,8275.89579493
"826","Thomes Creek Water District","NorCal All",2468,"2010/03/16","source",NA,"2010/03/16",13660783.1819,20562.5682542
"827","Bella Vista Water District","NorCal All",167,"2010/03/16","source",NA,"2010/03/16",136862508.427,87830.46337
"828","Buckeye (S/W)  @","NorCal All",2812,"2010/03/16","source",NA,"2010/03/16",54766522.2979,40722.4056532
"829","Centerville Community Services District","NorCal All",507,"2010/03/16","source",NA,"2010/03/16",41388771.0648,55531.7127451
"830","Anderson  City Of","NorCal All",66,"2010/03/16","source",NA,"2010/03/16",1086283.75683,5020.75615378
"831","Anderson  City Of","NorCal All",66,"2010/03/16","source",NA,"2010/03/16",230817.034401,22307.9216847
"832","Anderson  City Of","NorCal All",66,"2010/03/16","source",NA,"2010/03/16",62370.0180092,11443.2879951
"833","Lake Shasta  City Of","NorCal All",2815,"2010/03/16","source",NA,"2010/03/16",39217659.8192,32889.9943956
"834","Redding  City Of","NorCal All",2033,"2010/03/16","source",NA,"2010/03/16",12610202.6973,42469.5927838
"835","Redding  City Of","NorCal All",2033,"2010/03/16","source",NA,"2010/03/16",80441877.2724,109520.032081
"836","Clear Creek Community Services District","NorCal All",568,"2010/03/16","source",NA,"2010/03/16",433584.481304,3116.16294407
"837","Clear Creek Community Services District","NorCal All",568,"2010/03/16","source",NA,"2010/03/16",55250150.9832,65749.8569778
"838","Cottonwood County Water District","NorCal All",629,"2010/03/16","source",NA,"2010/03/16",2098.55392075,1407.27331096
"839","Igo - Ono Community Services District","NorCal All",1224,"2010/03/16","source",NA,"2010/03/16",755962.837776,38308.3010948
"840","Shasta County County Service Area No 6 Jones Valley","NorCal All",2270,"2010/03/16","source",NA,"2010/03/16",121701.375397,1385.31738985
"841","Shasta County County Service Area No 6 Jones Valley","NorCal All",2270,"2010/03/16","source",NA,"2010/03/16",226222.608704,1896.95008476
"842","Shasta County County Service Area No 6 Jones Valley","NorCal All",2270,"2010/03/16","source",NA,"2010/03/16",415147.904018,3089.79896187
"843","Shasta County County Service Area No 6 Jones Valley","NorCal All",2270,"2010/03/16","source",NA,"2010/03/16",4218609.09246,11475.1691031
"844","Keswick Community Services District","NorCal All",2821,"2010/03/16","source",NA,"2010/03/16",20780497.7044,25185.1631363
"845","Mountain Gate Community Services District","NorCal All",1668,"2010/03/16","source",NA,"2010/03/16",16477008.0972,31494.9993637
"846","Shasta Community Services District","NorCal All",2265,"2010/03/16","source",NA,"2010/03/16",29021158.9626,31125.6657732
"847","4-E Water District","NorCal All",1,"2010/03/16","source",NA,"2010/03/16",7299566.28438,17579.1955551
"848","Glenn - Colusa Irrigation District","NorCal All",1007,"2010/03/16","source",NA,"2010/03/16",3741.5035038,1021.6654186
"849","Glenn - Colusa Irrigation District","NorCal All",1007,"2010/03/16","source",NA,"2010/03/16",264585717.166,202583.206756
"850","Glide Water District","NorCal All",1012,"2010/03/16","source",NA,"2010/03/16",38565851.5991,29199.9762657
"851","Kanawha Water District","NorCal All",1276,"2010/03/16","source",NA,"2010/03/16",69211389.777,82294.4064939
"852","Orland Unit Water Users Association","NorCal All",1813,"2010/03/16","source",NA,"2010/03/16",91417662.1026,102150.539492
"853","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",26070278.8047,35502.311941
"854","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",77342566.0744,59785.7612868
"855","Orland - Artois Water District","NorCal All",1809,"2010/03/16","source",NA,"2010/03/16",43220101.7012,80580.0667394
"856","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",1303501.69354,4920.39279959
"857","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",814380.439095,5581.67683551
"858","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",20016406.6999,24712.9183182
"859","Princeton - Codora - Glenn Irrigation District","NorCal All",1969,"2010/03/16","source",NA,"2010/03/16",2535625.31464,9545.25230908
"860","Provident Irrigation District","NorCal All",1972,"2010/03/16","source",NA,"2010/03/16",58796323.1593,65936.5234918
"861","US Fish and Wildlife Service - Sacramento National Wildlife Refuge","NorCal All",2818,"2010/03/16","source",NA,"2010/03/16",35039837.1743,24237.8937254
"862","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",160014.074314,1600.26797775
"863","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",500717.502092,3810.34493971
"864","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",272669.369776,2288.4403871
"865","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",330394.208374,2847.84039278
"866","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",175790.103821,2022.24182221
"867","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",160834.924648,1965.22769586
"868","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",1775164.72769,10108.8599286
"869","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",34925.6734581,747.831197402
"870","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",382107.718452,3305.4594481
"871","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",415178.561958,3071.75387647
"872","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",2604328.90121,13963.1483568
"873","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",153437.855091,1564.30742337
"874","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",131988.686142,1453.42706442
"875","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",67885.0704041,1110.70062103
"876","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",78626.140274,1173.93298303
"877","Stony Creek Water District","NorCal All",2386,"2010/03/16","source",NA,"2010/03/16",870363.591721,6757.7956433
"878","Western Canal Water District","NorCal All",2693,"2010/03/16","source",NA,"2010/03/16",385284.316803,4599.91381869
"879","Western Canal Water District","NorCal All",2693,"2015/10/01","SERYSIAN","cleaned up boundary","2010/03/16",790889.563316,19477.0870698
"880","Willow Creek Mutual Water District","NorCal All",2740,"2010/03/16","source",NA,"2010/03/16",91733.7844143,10270.5577699
"881","US Fish and Wildlife Service - Colusa National Wildlife Refuge","NorCal All",2816,"2010/03/16","source",NA,"2010/03/16",12956150.6839,27724.4018851
"882","US Fish and Wildlife Service - Colusa National Wildlife Refuge","NorCal All",2816,"2010/03/16","source",NA,"2010/03/16",3408401.03104,12092.2079142
"883","Davis Water District (from USBR)","NorCal All",679,"2010/03/16","source",NA,"2010/03/16",4551977.99087,16057.266943
"884","US Fish and Wildlife Service - Delevan National Wildlife Refuge","NorCal All",2817,"2010/03/16","source",NA,"2010/03/16",22695987.1578,21061.6560377
"885","Glenn - Colusa Irrigation District","NorCal All",1007,"2010/03/16","source",NA,"2010/03/16",52.0603065491,89.4941658501
"886","Glenn - Colusa Irrigation District","NorCal All",1007,"2010/03/16","source",NA,"2010/03/16",1358.59740829,282.116448599
"887","Glenn - Colusa Irrigation District","NorCal All",1007,"2010/03/16","source",NA,"2010/03/16",3803087.46639,7963.41876365
