PWSID,PWS_NAME,CONTACT_NAME,TITLE,BUSINESS_PHONE,LOCATION_ADDRESS,POPULATION,TYPE,AREA,OWNERSHIP,SOURCE,CONNECTIONS,WELLS,PLANTS,INTAKES,INTERTIES,COUNTY
CA3600087   ,DEER LODGE WATER SYSTEM,BOB  BERNIER, ,909-336-7162   , LAKE ARROWHEAD CA 92352,745,Community,Residential Area              ,Private,Groundwater,149,2,1,0,1,San Bernardino
CA5401026   ,DEER MEADOW MUTUAL,KEN ELIAS,PRESIDENT,559-561-0610   ,40895 CHEROKEE OAKS DRIVETHREE RIVERS CA 93271,75,Community,Residential Area              ,Private,Groundwater,22,1,1,0,0,Tulare
CA0300046   ,DEER RIDGE INN,GORDON GRIMES, ,, PIONEER CA 95666,1000,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,2,0,0,0,Amador
CA4000587   ,DEER VALLEY,HELEN  WILLMOTT, ,805-489-4996   , ARROYO GRANDE CA 93420,24,Non-Public,Residential Area              ,Unknown,Groundwater,8,1,0,0,0,San Luis Obispo
CA0900592   ,DEERFIELD LODGE @ HEAVENLY,SPENCE ROMINE, ,229-292-3313   , SOUTH LAKE TAHOE CA 96150,30,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,14,1,0,0,0,El Dorado
CA4901295   ,DEERFIELD RANCH WINERY LLC,ADDISON REX,OPERATIONS MANAGER,707-931-4646   ,10200 SONOMA HIGHWAYKENWOOD CA 95452,25,Non-Community (Transient),Other Area                    ,Private,Groundwater,4,1,1,0,0,Sonoma
CA3200113   ,DEERWOOD LODGE,,,,   CA  ,15,Non-Public,Recreation Area               ,Private,Groundwater,7,1,0,0,0,Plumas
CA2702323   ,DEETJEN'S BIG SUR INN WS,TORREY WAAG, ,831-831-2417   , BIG SUR CA 93920,25,Non-Transient Non-Community,Hotel/Motel                   ,Private,Surface Water,2,0,1,1,0,Monterey
CA5000336   ,DEEVON WATER CO,,,, MODESTO CA 95351,1,Non-Public,Industrial/Agricultural       ,Private,Unknown,1,0,0,0,0,Stanislaus
CA3910702   ,DEFENSE DISTRIB. DEPOT -  TRACY SITE,JAMES PASLAK,ENVIRONMENTAL SPECIA,209-839-4081   ,"DDJC-FA ENV, BUILD 100, RM 2, STOCKTON CA 95296",1300,Non-Transient Non-Community,Other Transient Area          ,Federal,Groundwater,142,3,1,0,0,San Joaquin
CA3910701   ,"DEFENSE DISTRIB. DEPOT, SHARPE SITE",JAMES WILLISON,DIR. OF PUB. WORKS,831-242-7916   ,"DDJC-FA ENVIR, BUILD 100, ROOM 2, STOCKTON CA 95296",1256,Community,Other Residential Area        ,Federal,Groundwater,76,3,1,0,0,San Joaquin
CA3700866   ,DEL DIOS MUTUAL WATER COMPANY,DARRELL  CONNELLY, ,760-796-4300   , ESCONDIDO CA 92029,330,Community,Residential Area              ,Private,Groundwater,150,3,3,0,0,San Diego
CA2800100   ,DEL DOTTO WINERY,,,,,25,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,15,1,1,0,0,Napa
CA5304113   ,DEL LOMA RV PARK & CG,PATRICK MCCALMONT,OWNER/OPERATOR,530-623-2834   ,"HWY 299 W S/S, DEL LOMA, CA, BIG BAR CA 96010",150,Non-Community (Transient),Mobile Home Park              ,Private,Surface Water,1,1,2,1,0,Trinity
CA3710004   ,"DEL MAR, CITY OF",ERIC MINICILLI,PUB. WORKS DIRECTOR,858-755-3294   ,2240 JIMMY DURANTE BLVD.DEL MAR CA 92014,4199,Community,Other Residential Area        ,Local,Surface Water Purchased,1854,0,0,0,9,San Diego
CA2700541   ,DEL MONTE FARMS RD WS #03,DONALD LYKE, ,831-262-1582   , CASTROVILLE CA 95012,55,Community,Residential Area              ,Private,Groundwater,16,1,0,0,0,Monterey
CA2700544   ,DEL MONTE FARMS RD WTR SYS #6,,,, CASTROVILLE CA 95012,0,Non-Public,Other Area                    ,Private,Unknown,7,0,0,0,0,Monterey
CA1600249   ,DEL MONTE FOODS PLANT #24,,,, HANFORD CA 93230,750,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,7,3,0,0,0,Kings
CA0810300   ,DEL NORTE COAST STATE PARK,KEN LONG,SUPERVISOR,707-465-7386   ,"1375 ELK VALLEY RD., CRESCENT CITY CA 95531",1042,Non-Community (Transient),Recreation Area               ,State Government,Surface Water,1,0,1,1,0,Del Norte
CA5602104   ,DEL NORTE MUTUAL WATER CO.,DAVID VANONI,MANAGER,805-647-1092   ,"2080 LOS ANGELES AVE, VENTURA CA 93004",195,Community,Residential Area              ,Private,Groundwater,97,2,1,0,0,Ventura
CA5410034   ,DEL ORO CALIFORNIA PINES DISTRICT,ROBERT FORTINO,CEO,530-894-1100   , CALIFORNIA HOT SPRINGS CA 93207,1073,Community,Residential Area              ,Private,Groundwater,325,4,2,0,0,Tulare
CA5400767   ,DEL ORO EAST PLANO DISTRICT,ROBERT FORTINO,CEO,530-894-1100   ,S. PLANO ST. & E. WORTH ST.PORTERVILLE CA  ,50,Community,Residential Area              ,Mixed,Groundwater,15,1,0,0,0,Tulare
CA5400666   ,DEL ORO GRANDVIEW GARDENS DISTRICT,ROBERT FORTINO,CEO,530-894-1100   ,,389,Community,Residential Area              ,Private,Groundwater,119,1,1,0,0,Tulare
CA5400665   ,DEL ORO RIVER ISLAND SERV TERR #1,ROBERT FORTINO,CEO,530-894-1100   ,31910 COUNTRY CLUB DRPORTERVILLE CA 93257,1442,Community,Residential Area              ,Private,Groundwater,416,14,0,0,0,Tulare
CA5402048   ,DEL ORO RIVER ISLAND SERV TERR #2,ROBERT FORTINO,CEO,530-894-1100   ,33354 GLOBE DRSPRINGVILLE CA 93265,99,Community,Residential Area              ,Private,Groundwater,30,2,1,0,0,Tulare
CA5400553   ,DEL ORO TRAVER DISTRICT,ROBERT FORTINO,CEO,530-894-1100   ,JACOB & KITCHNER STREETSTRAVER CA 93673,500,Community,Residential Area              ,Private,Groundwater,180,2,0,0,0,Tulare
CA1000057   ,DEL ORO WATER CO - METROPOLITAN DISTRICT,CATHY FLUHARTY,ACCOUNTING SUPPORT,530-809-3971   ,OLIVE & MARTYFRESNO CA 93722,96,Community,Residential Area              ,Private,Groundwater,29,1,0,0,0,Fresno
CA1210007   ,DEL ORO WATER CO-FERNDALE,JOHN O'FARRELL,SUPERINTENDENT,530-873-0326   ,"DRAWER 5172, CHICO CA 95927",1998,Community,Residential Area              ,Private,Groundwater,755,1,2,0,0,Humboldt
CA4510015   ,DEL ORO WATER CO.-JOHNSON PARK,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,"DRAWER 5172, CHICO CA 95927",1106,Community,Recreation Area               ,Private,Groundwater,283,2,2,0,0,Shasta
CA0405001   ,DEL ORO WATER CO.-LIME SADDLE MARINA,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,"LIME SADDLE MARINA SRA, PARADISE CA 95969",1158,Community,Recreation Area               ,Private,Surface Water,351,2,1,1,0,Butte
CA0410009   ,DEL ORO WATER CO.-MAGALIA,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   , MAGALIA CA 95954,707,Community,Residential Area              ,Private,Groundwater,275,2,2,0,0,Butte
CA0410011   ,DEL ORO WATER CO.-PARADISE PINES,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,14147 LAKERIDGE COURTMAGALIA CA 95954,11405,Community,Residential Area              ,Private,Groundwater,4752,4,4,0,0,Butte
CA0410018   ,DEL ORO WATER CO.-STIRLING BLUFFS,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,GYPSUM STREETSTIRLING CITY CA 95978,313,Community,Residential Area              ,Private,Surface Water,157,0,1,1,0,Butte
CA0600011   ,DEL ORO WATER CO.-WALNUT RANCH,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,SANDBORN AND 3RD STREETCOLUSA CA 95932,182,Community,Residential Area              ,Local,Unknown,78,0,0,0,0,Colusa
CA0400091   ,DEL ORO WATER COMPANY - BUZZTAIL DIST.,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,"BUZZTAIL COMMUNITY SERVICE DISTRICT, FOREST RANCH CA 95942",70,Community,Residential Area              ,Local,Groundwater,32,1,1,0,0,Butte
CA5510007   ,DEL ORO WATER COMPANY - STRAWBERRY DIV.,BRIAN GREGGI,CHIEF OPERATOR,530-873-3782   ,28450 GEORGES DRIVESTRAWBERRY CA 95375,1330,Community,Residential Area              ,Private,Surface Water,399,0,1,2,0,Tuolumne
CA0605011   ,DEL ORO WC - ARBUCKLE DISTRICT,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,310 FIFTH ST.ARBUCKLE CA 95912,136,Community,Residential Area              ,Private,Groundwater,55,2,0,0,0,Colusa
CA1100404   ,DEL ORO WC - BLACK BUTTE DISTRICT,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   , ORLAND CA 95963,249,Community,Residential Area              ,Private,Groundwater,87,1,0,0,0,Glenn
CA1500314   ,DEL ORO WC - COUNTRY ESTATES DIST,ROBERT FORTINO,CHIEF EXEC. OFFICER,530-894-1100   ,WEEDPATCH HWY & REDBANK ROADBAKERSFIELD CA 93301,297,Community,Residential Area              ,Private,Groundwater,91,1,1,0,0,Kern
CA3410007   ,DEL PASO MANOR COUNTY WATER DI,DEBRA SEDWICK,GENERAL MANAGER,916-487-0419   ,4268 LUSK DRIVESACRAMENTO CA 95864,4458,Community,Residential Area              ,Local,Groundwater,1797,8,6,0,0,Sacramento
CA1010035   ,DEL REY COMMUNITY SERV DIST,HILDA ORTIZ,DISTRICT MANAGER,559-888-2272   ,"10649 E.MORRO DRIVE, DEL REY CA 93616",1500,Community,Residential Area              ,Local,Groundwater,328,5,0,0,0,Fresno
CA5000099   ,DEL RIO EAST HOA WATER SYSTEM,JERRY GONZALEZ, ,209-544-3422   , MODESTO CA 95356,110,Community,Residential Area              ,Private,Groundwater,55,2,0,0,0,Stanislaus
CA1900130   ,DEL RIO MUTUAL,DARIO HERRERA, ,,"DEL RIO MUTUAL, EL MONTE CA 91730",1400,Non-Community (Transient),Residential Area              ,Private,Groundwater,133,1,0,0,0,Los Angeles
CA1900304   ,DEL SUR GARDENS TRAILER PARK,GEORGE AVILA, ,,,25,Non-Community (Transient),Restaurant                    ,Private,Groundwater,20,1,0,0,0,Los Angeles
CA1900750   ,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,KELLY CLERK, ,,9023 WEST AVENUE HLANCASTER CA 93536,920,Non-Transient Non-Community,School                        ,Local,Groundwater,1,1,1,0,0,Los Angeles
CA1502066   ,DELANO GROWER S GRAPE PRODUCTS,RICK LORD,MANAGER,661-725-3255   ,32351 BASSETT AVENUEDELANO CA 93215,41,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,1,0,0,Kern
CA1510005   ,"DELANO, CITY OF",ROMAN DOWLING,PUBLIC WORKS DIR.,661-720-2219   ,725 S. LEXINGTONDELANO CA 93215,49800,Community,Residential Area              ,Local,Groundwater,9046,14,13,0,0,Kern
CA2702110   ,DELANY WC,BRUCE BONGARD, ,831-728-4017   , ROYAL OAKS CA 95076,60,Community,Residential Area              ,Private,Groundwater,19,1,0,0,0,Monterey
CA3301850   ,DELARA RENTALS,,,, COACHELLA CA 92236,24,Non-Public,Residential Area              ,Private,Groundwater,14,1,0,0,0,Riverside
CA2210003   ,DELAWARE NORTH PARKS SERVICES AT TENAYA,PAUL RATCHFORD,GENERAL MANAGER,559-683-6555   ,"TENAYA LODGE, FISH CAMP CA 93623",1200,Non-Transient Non-Community,Hotel/Motel                   ,Private,Groundwater,3,3,3,0,0,Mariposa
CA5403023   ,DELFT COLONY WATER,MICHAEL BOND,ASST. RMA DIRECTOR,559-624-7150   ,39683 RD. 57DINUBA CA 93618,400,Community,Residential Area              ,Local,Groundwater,99,3,2,0,0,Tulare
CA2000637   ,DELGADO'S WATER SYSTEM,DAVID  DELGADO,OWNER,559-673-1533   , MADERA CA 93637,35,Non-Community (Transient),Restaurant                    ,Mixed,Groundwater,5,1,0,0,0,Madera
CA2410006   ,DELHI CWD,STEPHANY WALTER,GENERAL MANAGER,209-632-8777   ,"9738 STEPHENS STREET, DELHI CA 95315",7068,Community,Residential Area              ,Local,Groundwater,2333,4,5,0,0,Merced
CA2400245   ,DELHI KINGDOM HALL,RANDY HARTT,COORDINATOR,209-668-2550   ,7763 MERRIOTT AVE.DELHI CA 95315,350,Non-Community (Transient),Institution                   ,Private,Groundwater,2,1,0,0,0,Merced
CA3900815   ,DELICATO VINEYARDS,,,, MANTECA CA 95336,25,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,5,2,0,0,0,San Joaquin
CA1400088   ,DELIGHT'S HOT SPRINGS RESORT,STEVE  MCNEAL, ,760-852-4343   , TECOPA CA 92389,55,Non-Community (Transient),Recreation Area               ,Private,Groundwater,26,1,0,0,0,Inyo
CA0900559   ,DELLA CELLA COTTAGES,BARBARA  CELLA,OWNER,530-541-2680   , SOUTH LAKE TAHOE CA 96150,0,Non-Public,,Private,Unknown,7,0,0,0,0,El Dorado
CA4901346   ,DELORES LANE WATER SYSTEM,DEBBIE WILLIAMS,OWNER/TRUSTEE,,401 DELORES LANESANTA ROSA CA 95407,50,Community,Residential Area              ,Private,Groundwater,17,2,1,0,0,Sonoma
CA4700591   ,DELPHIC ELEMENTARY SCHOOL,DEBORAH FAULKNER,SUPT./D1 OPERATOR,530-842-3653   ,"1420 DELPHIC ROAD, MONTAGUE CA 96064",50,Non-Transient Non-Community,School                        ,Local,Groundwater,1,1,0,0,0,Siskiyou
CA3901470   ,DELRIO MARKET & DELI,MARIA DELRIO, ,, FRENCH CAMP CA 95231,25,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0,San Joaquin
CA3400377   ,DELTA BAY CLUB,,,, ISLETON CA 95641,270,Non-Community (Transient),Residential Area              ,Private,Groundwater,133,3,1,0,0,Sacramento
CA3400303   ,DELTA BEACH RESORTS [SWS],,,, ISLETON CA 95690,50,Non-Community (Transient),Recreation Area               ,Private,Groundwater,24,1,0,0,0,Sacramento
CA4810801   ,DELTA CONSERVATION CAMP,LINDA GREEN,ASST. CHIEF,707-428-4461   ,6246 LAMBIE ROADSUISUN CA 94585,150,Community,Institution                   ,State Government,Groundwater,1,1,1,0,0,Solano
CA3400150   ,DELTA CROSSING MHP,,,, HOOD CA 95639,30,Community,Mobile Home Park              ,Private,Groundwater,21,1,0,0,0,Sacramento
CA3400461   ,DELTA FARMER'S MARKET,,,, ISLETON CA 95641,100,Non-Community (Transient),Recreation Area               ,Private,Groundwater,3,1,0,0,0, 
CA5700510   ,DELTA HIGH SCHOOL,CRAIG  HAMBLIN, ,916-417-3411   , CLARKSBURG CA 95612,250,Non-Transient Non-Community,School                        ,Local,Groundwater,3,1,0,0,0,Yolo
CA5700829   ,DELTA HOMEOWNERS ASSOC,PAUL  HARRIS,NOT TRANSFERRED TO S,916-744-1260   , CLARKSBURG CA 95612,15,Non-Public,Residential Area              ,Private,Unknown,6,0,0,0,0,Yolo
CA0707573   ,DELTA MUTUAL WATER COMPANY,NACHO MENDOZA, ,925-625-3798   , BETHEL ISLAND CA 94511,225,Community,Residential Area              ,Private,Groundwater,106,2,0,0,0,Contra Costa
CA3400394   ,DELTA SHORES RESORT,,,, ISLETON CA 95641,195,Non-Transient Non-Community,Recreation Area               ,Private,Groundwater,196,1,0,0,0,Sacramento
CA0706056   ,DELTA SPORTSMAN,JOSEPH LIN, ,650-533-8672   , BETHEL ISLAND CA 94511,150,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,1,0,0,0,Contra Costa
CA1503660   ,DELTA TRADING WATER SYSTEM,JIM MENA,GENERAL MANAGER,661-834-5560   ,,25,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,11,1,2,0,0,Kern
CA5610001   ,DEMPSEY ROAD MUTUAL WATER CO,ROSA TELLEZ,PRESIDENT,805-483-9014   ,2265 SAMUEL AVENUEOXNARD CA 93033,1520,Community,Residential Area              ,Private,Surface Water Purchased,301,1,1,0,1,Ventura
CA3601171   ,DEMPSEYS PUB,,,, HELENDALE CA 92342,100,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0, 
CA5010021   ,DENAIR COMMUNITY SERVICES DISTRICT,GAYLON WADE,MANAGER,209-634-4986   , DENAIR CA 95316,3225,Community,Residential Area              ,Local,Groundwater,1294,4,0,0,0,Stanislaus
CA5601701   ,DENNISON PARK,THERESA LUBIN,PROGRAM ADMINISTRATO,805-654-3968   ,720 OJAI-SANTA PAULA ROADOJAI CA 93023,100,Non-Community (Transient),Other Transient Area          ,Local,Groundwater,1,1,1,0,0,Ventura
CA3901124   ,DENNY BOYS WATER SYSTEM,YIN WAH LEE, ,, STOCKTON CA 95212,300,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,1,0,0,0,San Joaquin
CA5000134   ,DEPARTMENT OF TRANSPORTATION,KENT KIBBLE,MANAGER,209-948-7259   ,WESTLEY ROAD AND INTERSTATE HIGHWAY 5PATTERSON CA 95363,8900,Non-Community (Transient),Highway Rest Area             ,State Government,Groundwater,1,1,0,0,0,Stanislaus
CA3600283   ,DEPARTMENT OF WATER AND POWER,STEVE  WILSON, ,,HWY 38BIG BEAR LAKE CA 92315,147,Community,Residential Area              ,Local,Groundwater,84,3,0,0,0,San Bernardino
CA4901418   ,DERBES WINERY,BILLY & CECILE DERBES,OWNERS,,10520 WOHLER ROADHEALDSBURG CA 95448,40,Non-Community (Transient),Other Transient Area          ,Private,Unknown,5,0,0,0,0,Sonoma
CA1503667   ,DERREL'S MINI STORAGE #66,DONNIE LONG,REGIONAL MANAGER,559-224-9900   ,,26,Non-Community (Transient),Other Area                    ,Private,Groundwater,2,1,0,0,0,Kern
CA0400052   ,DESABLA - CAMP 1,JIM  BUNDY,SUPERVISOR/MGR,530-873-0120   , MAGALIA CA 95954,100,Non-Community (Transient),Recreation Area               ,Private,Groundwater,6,1,1,0,0,Butte
CA3710009   ,DESCANSO COMMUNITY SERVICES DISTRICT,DAN DEMOSS,GENERAL MANAGER,855-224-6981   , DESCANSO CA 91916,870,Community,Other Residential Area        ,Local,Groundwater,322,2,2,0,0,San Diego
CA3700029   ,DESCANSO FIRE STATION,NOELLE  GRAHAM-WAKOSKI, ,, DESCANSO CA 91916,34,Non-Community (Transient),Secondary Residences          ,Federal,Groundwater,9,1,0,0,0,San Diego
CA3700013   ,DESCANSO JUNCTION,JOHN  ELLIOTT,OWNER,619-445-5011   , DESCANSO CA 91916,100,Non-Community (Transient),Restaurant                    ,Private,Groundwater,5,1,0,0,0,San Diego
CA1900143   ,DESERT AIRE GOLF COURSE,CHRIS MCEANAEY, ,,"DESERT AIRE GOLF COURSE, PALMDALE CA 93550",80,Non-Community (Transient),Recreation Area               ,Private,Groundwater,2,1,1,0,0,Los Angeles
CA1502247   ,DESERT BREEZE MOBILE HOME ESTATES,DANIEL EPSTEIN,OWNER,818-621-1496   ,1262 ROSAMOND BLVD.ROSAMOND CA 93560,115,Community,Mobile Home Park              ,Mixed,Groundwater,63,1,0,0,0,Kern
CA3301469   ,DESERT CENTER MINI MART INC,,,, DESERT CENTER CA 92239,40,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,0,0,0,Riverside
CA3600088   ,DESERT DAWN MWC,PAUL  FLORES, ,760-248-7104   , LUCERNE VALLEY CA 92356,120,Community,Residential Area              ,Private,Groundwater,24,2,0,0,0,San Bernardino
CA3301388   ,DESERT DUNES GOLF CLUB LTD,JOSE RIVERA, ,, DESERT HOT SPRINGS CA 92240,90,Non-Transient Non-Community,Recreation Area               ,Private,Groundwater,2,1,0,0,0,Riverside
CA3301206   ,DESERT HOT SPRINGS SPA HOTEL,,,, DESERT HOT SPRINGS CA 92240,60,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,1,2,0,0,0,Riverside
CA3702302   ,DESERT IRONWOODS RESORT INC.,TRAVIS  LARSON, ,760-767-5670   , BORREGO SPRINGS CA 92004,25,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,110,1,0,0,0,San Diego
CA1510027   ,DESERT LAKE COMM SERV DIST,NATALIE DADY,GENERAL MANAGER,760-762-5349   , BORON CA 93516,792,Community,Residential Area              ,Local,Surface Water Purchased,248,1,1,0,1,Kern
CA1900693   ,DESERT PALMS MOBILE HOME PARK,DANIEL SACKETT, ,,,165,Community,Mobile Home Park              ,Private,Groundwater,1,1,0,0,0,Los Angeles
CA1500396   ,DESERT PARADISE RV PARK WATER SYSTEM,RICK NAGLER,OWNER-ROSAMOND DEL L,310-951-8777   ,4968 W. ROSAMOND BLVD.ROSAMOND CA 93539,25,Non-Community (Transient),Mobile Home Park              ,Private,Groundwater,25,1,0,0,0,Kern
CA3601101   ,DESERT PETRO INC,DESERT  DIESEL FUEL STOP, ,818-219-3090   , NEWBERRY SPRINGS CA 92365,25,Non-Community (Transient),Service Station               ,Private,Groundwater,2,0,0,0,0,San Bernardino
CA3600089   ,DESERT SPRINGS MWC,TOM  COURTNEY, ,760-248-6066   , LUCERNE VALLEY CA 92356,325,Community,Residential Area              ,Private,Groundwater,65,2,0,0,0,San Bernardino
CA3601174   ,DESERT STAR RANCH,,,, BAKER CA 92309,500,Non-Community (Transient),Residential Area              ,Private,Groundwater,1,1,0,0,0, 
CA3600388   ,DESERT VIEW MOBILE PARK,CATHE  SAI SU, ,626-307-8897   , HINKLEY CA 92347,130,Community,Mobile Home Park              ,Private,Groundwater,29,3,0,0,0,San Bernardino
CA3601143   ,DESERT VIEW RV RESORT,JERRY  SWEEDEN, ,760-326-4000   , NEEDLES CA 92363,25,Non-Community (Transient),Mobile Home Park              ,Private,Groundwater,6,2,0,0,0,San Bernardino
CA3301209   ,DESERT VIEW TRAILER PARK,ADAM AHMED, ,, THERMAL CA 92274,60,Community,Residential Area              ,Private,Groundwater,21,1,0,0,0,Riverside
CA3310005   ,DESERT WATER AGENCY,DAVID LUKER,GENERAL MANAGER,760-323-4971   ,1200 GENE AUTRY TRAIL SOUTHPALM SPRINGS CA 92264,83710,Community,Other Residential Area        ,Local,Surface Water,21424,32,10,4,1,Riverside
CA3901464   ,DESHMESH DARBAR LODI/STK WATER SYS,,,,12098 N WEST LNLODI CA 952409424,25,Non-Community (Transient),Other Area                    ,Private,Groundwater,1,1,0,0,0,San Joaquin
CA1400108   ,DESIDERATA HOMEOWNER'S ASSOCIATION,,,,"122 DESIDERATA LANE, BISHOP, CA  93514BISHOP CA 93514",19,Unknown,Residential Area              ,Private,Groundwater,14,1,0,0,0,Inyo
CA5000349   ,DESIMAS & BAIROS DAIRY,,,, OAKDALE CA 95361,1,Non-Public,Industrial/Agricultural       ,Private,Unknown,1,0,0,0,0,Stanislaus
CA2700547   ,DESMOND RD WS #03,KAREN SHERMAN, ,, CASTROVILLE CA 95012,55,Community,Residential Area              ,Private,Groundwater,19,1,0,0,0,Monterey
CA3910800   ,DEUEL VOCATIONAL INSTITUTION,EDWARD VASCONCELLOS,ASSOCIATE WARDEN,209-835-4141   , TRACY CA 95378,4544,Community,Institution                   ,State Government,Groundwater,1510,4,1,0,0,San Joaquin
CA2510800   ,DEVIL'S GARDEN CONSERV. CAMP,BYRON GIBBONS,WATER PLANT OPERATOR,530-233-3634   ,"CROWDER FLAT RD., ALTURAS CA 96101",120,Non-Transient Non-Community,Institution                   ,State Government,Groundwater,1,1,0,0,0,Modoc
CA2100586   ,DEVIL'S GULCH RANCH WATER SYSTEM,MARK PASTERNAK,OWNER,415-662-2209   ,,60,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,4,1,1,0,0,Marin
CA0300069   ,DEVILS GATE TRACT ASSOCIATION,DEVILS GATE HOMEOWNE  CA0300069, ,, KIRKWOOD CA 95652,20,Non-Public,Other Residential Area        ,Private,Unknown,5,0,0,0,0,Amador
CA3610117   ,DEVORE WC,MARK SLOBOM,PRESIDENT,909-887-3310   ,18185 KENWOOD AVESAN BERNARDINO CA 92407,1600,Community,Residential Area              ,Private,Groundwater,491,15,5,0,0,San Bernardino
CA2902326   ,DEW DROP INN,PHILLIP FOOTE, ,, GRASS VALLEY CA 95949,50,Non-Community (Transient),Restaurant                    ,Private,Groundwater,1,1,0,0,0,Nevada
CA371053    ,DHS BORDER PATROL HWY 94 CHECKPOINT,WILLIAM DANA,HEALTH SAFE OFFICER,619-216-4049   ,,0,Unknown,,Unknown,Unknown,,0,0,0,0, 
CA3710053   ,DHS BORDER PATROL HWY 94 CHECKPOINT,GREG GEPHART,OPS BRANCH CHIEF,949-360-2368   ,"HWY 94, ¼ MILE E. OF OTAY LAKES ROAD  CA  ",50,Non-Transient Non-Community,Other Non-Transient Area      ,Federal,Groundwater,1,1,1,0,0,San Diego
CA3710052   ,DHS BORDER PATROL I-8 CHECKPOINT,GREG GEPHART,OPS BRANCH CHIEF,949-360-2368   ,"49 MILE MARKER INSTERSTATE I-8,   CA  ",50,Non-Transient Non-Community,Other Non-Transient Area      ,Federal,Groundwater,2,1,1,0,0,San Diego
CA371052    ,DHS BORDER PATROL I-8 CHECKPOINT,WILLIAM DANA,HEALTH SAFE OFFICER,619-216-4049   ,,0,Unknown,,Unknown,Unknown,,0,0,0,0, 
CA3710051   ,DHS BOULEVARD BORDER PATROL,GREG GEPHART,OPS BRANCH CHIEF,949-360-2368   ,,100,Non-Transient Non-Community,Other Non-Transient Area      ,Federal,Groundwater,2,2,1,0,0,San Diego
CA1310019   ,DHS CALEXICO,MICHAEL HULSEY,BRANCH CHIEF,760-337-7173   ,,330,Non-Transient Non-Community,Institution                   ,Federal,Surface Water Purchased,2,0,1,0,1,Imperial
CA1502068   ,DI GIORGIO SCHOOL WATER SYSTEM,TERRY HALLUM,SUPERINTENDENT,661-854-2604   ,"19405 BUENA VISTA BLVD, ARVIN CA 93203",240,Non-Transient Non-Community,School                        ,Private,Groundwater,1,1,1,0,0,Kern
CA2801089   ,DI ROSA ART PRESERVE,DI ROSA ART PRESERVE  CA2801089, ,, NAPA CA 94559,25,Non-Community (Transient),Industrial/Agricultural       ,Private,Groundwater,1,1,1,0,0,Napa
CA0710007   ,DIABLO WATER DISTRICT,MIKE YERAKA,GENERAL MANAGER,925-625-6159   ,2107 MAIN STREETOAKLEY CA 94561,36014,Community,Residential Area              ,Local,Surface Water Purchased,10654,4,3,0,1,Contra Costa
CA4900562   ,DIAMOND A MUTUAL WATER COMPANY,RICHARD BRYAN,BOARD PRESIDENT,,18745 SPRING DRIVESONOMA CA 95476,420,Community,Residential Area              ,Private,Groundwater,176,4,2,0,0,Sonoma
CA2900567   ,DIAMOND ARROW CONFERENCE CENTER,ORVILLE BOGER, ,, NEVADA CITY CA 95959,250,Non-Community (Transient),Recreation Area               ,Private,Groundwater,15,5,0,0,0,Nevada
CA3700174   ,DIAMOND JACK'S RV RANCH,FRED  ROUGHTON, ,619-669-0099   , JAMUL CA 91935,120,Non-Transient Non-Community,Recreation Area               ,Private,Groundwater,45,1,0,0,0,San Diego
CA1503360   ,DIAMOND JIM S CASINO,GEORGE DEITCH,PRESIDENT,661-256-1400   ,118 20TH STREET WESTROSAMOND CA 93560,340,Non-Transient Non-Community,Restaurant                    ,Private,Groundwater,2,1,0,0,0,Kern
CA1800528   ,DIAMOND MOUNTAIN GOLF CLUB,DAN NEWTON, ,530-257-1041   ,470-835 WINGFIELD ROADSUSANVILLE CA 96130,75,Non-Community (Transient),Recreation Area               ,Private,Groundwater,3,2,0,0,0,Lassen
CA3301132   ,DIAMOND VALLEY MARKET WATER,,,, HEMET CA 92544,25,Non-Community (Transient),Other Transient Area          ,Private,Unknown,2,0,0,0,0, 
