"Basin
Subbasin ID",Basin Name,Subbasin Name,Hydrologic Name,Basin - Subbasin Area (acre),Total Rank Scoring,Final Priority,Population (2010),Final Population Rank,"Population Growth
%",Final Population Growth Rank,Total Wells,Final Well Rank (discounted),Total Public Supply Wells,Final Public Supply Well Rank,"Groundwater Volume
(Ac-Ft)",% of total water supply supplied by groundwater,% of total water supply supplied by surface water,Final groundwater volume rank,Final % of total water supply supplied by groundwater rank,Final groundwater Reliance rank,Irrigated Acreage,Final Irrigated Acreage Rank,Impact Ranks,Impact Comments,Other Information Rank,Other Information Comments,Additional Comments
3-28,SAN BENITO RIVER VALLEY,,Central Coast,"24,223",0.0,Very Low,101,0,102%,0,46,0.75,7,2,946,100%,0%,1,5,0,795,1,,,,,
3-29,DRY LAKE VALLEY,,Central Coast,"1,416",0.0,Very Low,8,0,150%,0,0,0,0,0,201,100%,0%,2,5,0,125,2,,,,,
3-3.01,GILROY-HOLLISTER VALLEY,LLAGAS AREA,Central Coast,"55,967",25.8,High,"91,706",3,113%,2,"5,537",3.75,94,5,"44,000",90%,10%,5,5,5,"36,140",5,2,"Nitrate has impacted a significant number of private domestic wells across the Llagas Subbasin due to historic and ongoing sources including agricultural activities and septic systems, Perchlorate is also a problem",,,
3-3.02,GILROY-HOLLISTER VALLEY,BOLSA AREA,Central Coast,"20,912",16.3,Medium,"2,935",1,105%,1,229,2.25,3,1,"2,200",25%,75%,2,2,2,"13,051",5,4,"Water quality degradation, overdraft.",,,"2012 Groundwater reports for San BenitoWD show stable GW levels and average pumping of 2,200 per year for Bolsa area."
3-3.03,GILROY-HOLLISTER VALLEY,HOLLISTER AREA,Central Coast,"32,729",17.5,Medium,"22,013",2,106%,1,731,3,33,4,"14,299",75%,25%,3,4,3.5,"14,342",4,,,,,
3-3.04,GILROY-HOLLISTER VALLEY,SAN JUAN BAUTISTA AREA,Central Coast,"74,305",16.8,Medium,"26,150",1,108%,1,790,2.25,57,3,"13,530",80%,20%,2,5,3.5,"11,313",2,4,Poor water quality due to high TDS.,,,
3-30,BITTER WATER VALLEY,,Central Coast,"32,222",0.0,Very Low,38,0,111%,0,18,0.75,0,0,"3,023",100%,0%,0,0,0,"2,557",2,,,,,
3-31,HERNANDEZ VALLEY,,Central Coast,"2,865",0.0,Very Low,3,0,300%,0,10,1.5,0,0,0,0%,100%,0,0,0,0,0,,,,,
3-32,PEACH TREE VALLEY,,Central Coast,"9,791",0.0,Very Low,7,0,157%,0,3,0.75,0,0,902,100%,0%,1,5,0,"1,193",2,,,,,
3-33,SAN CARPOFORO VALLEY,,Central Coast,"1,054",0.0,Very Low,4,0,100%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
3-34,ARROYO DE LA CRUZ VALLEY,,Central Coast,"1,028",0.0,Very Low,1,0,300%,0,0,0,0,0,0,0%,100%,0,0,0,252,3,,,,,
3-35,SAN SIMEON VALLEY,,Central Coast,560,0.0,Very Low,9,1,56%,0,0,0,8,5,"1,010",10%,90%,5,1,0,158,3,,,,,GW Use based on B118-03 data
3-36,SANTA ROSA VALLEY,,Central Coast,"3,525",0.0,Very Low,920,1,110%,0,0,0,1,2,"5,900",8%,92%,0,0,0,"1,196",4,,,,,GW Use based on B118-03 data
3-37,VILLA VALLEY,,Central Coast,"1,358",0.0,Very Low,21,1,124%,0,0,0,0,0,0,0%,100%,0,0,0,461,4,,,,,
3-38,CAYUCOS VALLEY,,Central Coast,336,0.0,Very Low,3,0,167%,0,0,0,0,0,0,0%,100%,0,0,0,15,2,,,,,
3-39,OLD VALLEY,,Central Coast,"1,179",0.0,Very Low,217,1,62%,0,0,0,0,0,0,0%,100%,0,0,0,58,2,,,,,
3-4.01,SALINAS VALLEY,180/400 FOOT AQUIFER,Central Coast,"84,321",24.0,High,"55,740",2,99%,0,"2,443",3,126,4,"130,000",100%,0%,5,5,5,"57,746",5,5,Coastal basin with saline intrusion in both 180-Foot and 400-Foot aquifers due to excessive GW pumping,,,GW Use based on B118-03 data
3-4.02,SALINAS VALLEY,EAST SIDE AQUIFER,Central Coast,"57,452",27.0,High,"128,646",3,129%,4,"1,587",3,61,4,"86,000",100%,0%,5,5,5,"35,445",5,3,"Overdraft conditions in basin, high TDS and Nitrates exceeding drinking water standards in portions of the basin",,,GW Use based on B118-03 data
3-4.04,SALINAS VALLEY,FOREBAY AQUIFER,Central Coast,"94,025",17.3,Medium,"43,867",2,105%,1,935,2.25,34,2,"160,000",100%,0%,5,5,5,"60,146",5,,,,,GW Use based on B118-03 data
3-4.05,SALINAS VALLEY,UPPER VALLEY AQUIFER,Central Coast,"98,164",15.5,Medium,"15,862",1,103%,1,525,1.5,20,2,"125,000",100%,0%,5,5,5,"51,574",4,1,Poor quality water along the eastern side of subbasin. PSW above MCL for inorganics and Nitrates (B-118).,,,GW Use based on 2011 MC WMA Annual Report. No data on %GW
3-4.06,SALINAS VALLEY,PASO ROBLES AREA,Central Coast,"597,241",23.3,High,"56,077",1,137%,4,440,0.75,132,2,"120,215",100%,0%,2,5,3.5,"101,763",3,4,Nitrate and TDS impacts to groundwater (B-118),5,County groundwater ordinance banning further residential development in basin.,
3-4.08,SALINAS VALLEY,SEASIDE AREA,Central Coast,"25,903",20.8,Medium,"65,899",3,100%,0,902,3.75,29,4,"11,135",100%,0%,3,5,4,758,1,5,Seawater intrusion in coastal basin due to excessive pumping,,,
3-4.09,SALINAS VALLEY,LANGLEY AREA,Central Coast,"15,344",18.8,Medium,"9,833",2,104%,1,"1,136",3.75,71,5,"13,000",100%,0%,5,5,5,"2,084",2,,,,,
3-4.10,SALINAS VALLEY,CORRAL DE TIERRA AREA,Central Coast,"22,274",15.0,Medium,"7,831",1,122%,3,449,3,21,4,"10,000",100%,0%,3,5,4,0,0,,,,,
3-40,TORO VALLEY,,Central Coast,722,0.0,Very Low,8,1,100%,0,0,0,0,0,0,0%,100%,0,0,0,166,3,,,,,
3-41,MORRO VALLEY,,Central Coast,646,0.0,Very Low,399,2,99%,0,0,0,7,5,0,0%,100%,0,0,0,749,5,,,,,
3-42,CHORRO VALLEY,,Central Coast,"1,547",0.0,Very Low,247,1,99%,0,0,0,1,3,0,0%,100%,0,0,0,"1,123",5,,,,,
3-43,RINCONADA VALLEY,,Central Coast,"2,579",0.0,Very Low,11,0,136%,0,0,0,0,0,2,0%,100%,1,1,0,973,4,,,,,
3-44,POZO VALLEY,,Central Coast,"6,852",0.0,Very Low,52,0,96%,0,0,0,9,4,11,2%,98%,1,1,0,504,2,,,,,
3-45,HUASNA VALLEY,,Central Coast,"4,706",0.0,Very Low,55,1,73%,0,2,0.75,0,0,14,1%,99%,0,1,0,580,2,,,,,
3-46,RAFAEL VALLEY,,Central Coast,"2,996",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
3-47,BIG SPRING AREA,,Central Coast,"7,332",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,"1,435",3,,,,,
3-49,MONTECITO,,Central Coast,"6,286",0.0,Very Low,"9,885",3,86%,0,476,3.75,8,4,300,5%,95%,1,1,0,236,1,1,Locally high TDS within the basin. Wells exceed Federal iron and manganese concentrations (B-118).,,,GW Use from Montecito Water District. 
3-5,CHOLAME VALLEY,,Central Coast,"39,847",0.0,Very Low,48,0,8%,0,32,0.75,1,1,"5,011",100%,0%,0,0,0,"3,541",2,,,,,
3-50,FELTON AREA,,Central Coast,"1,155",0.0,Very Low,"3,024",3,102%,1,41,3.75,0,0,165,63%,37%,2,4,0,0,0,3,Overdraft,,,
3-51,MAJORS CREEK,,Central Coast,364,0.0,Very Low,53,1,91%,0,2,1.5,0,0,200,100%,0%,4,5,0,229,5,,,,,
3-52,NEEDLE ROCK POINT,,Central Coast,479,0.0,Very Low,66,1,114%,0,33,3.75,0,0,200,100%,0%,3,5,0,283,5,,,,,
3-53,FOOTHILL,,Central Coast,"3,123",0.0,Very Low,"17,543",4,115%,2,129,3.75,10,5,"1,255",3%,97%,3,1,0,1,1,5,USGS documented nitrates exceeding MCL and high sulfates in the basin. TDS is documented to be high in the basin and potential for saline intrusion.,,,
3-6,LOCKWOOD VALLEY,,Central Coast,"59,933",0.0,Very Low,"1,171",1,173%,0,446,1.5,15,2,"4,565",100%,0%,0,0,0,"3,677",2,,,,,
3-7,CARMEL VALLEY,,Central Coast,"5,151",22.8,High,"5,086",2,121%,3,331,3.75,20,5,"9,500",100%,0%,5,5,5,557,2,1,"Excessive pumping of Cal-Am wells caused basin overdraft and Carmel River to dry, leading to court order.",1,SW-GW Interaction Issue. Cal-Am Water Company court ordered to reduce 2/3rds of diversions from Carmel River.,GW use from B118-03 data
3-8,LOS OSOS VALLEY,,Central Coast,"6,994",22.0,High,"13,948",3,99%,0,0,0,25,5,"2,100",40%,60%,3,3,3,"2,215",4,5,"Documented saline intrusion due to ""serious"" overdraft, also nitrate impairment.",2,Interlocutory Stipulated Judgment against water suppliers and purveyors in basin and proceeding with adjudication. Also add one point due to total well count error for this basin.,GW use from B118-03 data
3-9,SAN LUIS OBISPO VALLEY,,Central Coast,"12,724",19.5,Medium,"18,834",2,108%,1,0,0,56,5,"5,000",60%,40%,3,4,3.5,"5,211",4,3,Overdraft Conditions,1,"While only 18,000 may live in the actual basin, over 45,000 (2010 census) rely on the basin for 2/3rds of their drinking water.",GW use from B118-03 data
4-1,UPPER OJAI VALLEY,,South Coast,"3,815",0.0,Very Low,616,1,89%,0,7,0.75,1,2,13,1%,99%,1,1,0,"1,043",3,5,"Groundwater has been documented to contain high levels of boron, sodium chloride, high TDS, sulfate, nitrates, iron, and chlorides (B-118)",,,
4-10,CONEJO,,South Coast,"18,848",13.0,Low,"96,704",4,115%,2,103,1.5,2,1,"2,029",52%,48%,2,3,2.5,1,1,1,Locally high TDS in basin and one well with nitrate levels above MCL (B-118).,,,
4-11.01,COASTAL PLAIN OF LOS ANGELES,SANTA MONICA,South Coast,"31,846",19.3,Medium,"465,606",5,121%,3,"1,586",3.75,10,2,"3,500",42%,58%,2,3,2.5,0,0,3,MTBE contamination has led to significant reduction in groundwater production and locally high TDS.,,,GW Use based on 2011-12 MWD report
4-11.02,COASTAL PLAIN OF LOS ANGELES,HOLLYWOOD,South Coast,"10,108",0.0,Very Low,"250,649",5,97%,0,505,3.75,7,3,"1,800",42%,58%,2,3,0,0,0,1,MWD lists some TDS and VOC water quality issues.,,,GW Use based on 2011-12 MWD report
4-11.03,COASTAL PLAIN OF LOS ANGELES,WEST COAST,South Coast,"93,795",20.8,Medium,"1,195,195",5,106%,1,"4,221",3.75,45,3,"43,920",42%,58%,3,3,3,0,0,5,Basin in overdraft since 1960's. Adjudicated basin. Saline intrusion problem and a seawater barrier project is in effect to reduce seawater intrusion.,,,GW Use based on WRD data per 2011 Engineering Report.
4-11.04,COASTAL PLAIN OF LOS ANGELES,CENTRAL,South Coast,"180,357",24.8,High,"3,052,303",5,111%,2,"6,752",3.75,428,5,"197,387",42%,58%,5,3,4,0,0,5,Basin was adjudicated in the early 1960's due to overdraft. Several public supply wells are known to be impacted by various water quality issues.,,,GW Use based on WRD data per 2011 Engineering Report.
4-12,SAN FERNANDO VALLEY,,South Coast,"145,354",19.8,Medium,"1,745,338",5,120%,3,"1,909",2.25,102,3,"108,500",13%,87%,4,1,2.5,0,0,3,Several public supply wells have shown contamination per Bulletin 118.,1,Basin is adjudicated.,GW Use based on B118-03 data
4-13,SAN GABRIEL VALLEY,,South Coast,"127,278",21.3,High,"1,275,187",5,104%,1,"1,587",2.25,404,5,"218,696",56%,44%,5,3,4,0,0,3,Superfund sites are present within the basin and other areas with water quality impacts are known.,1,Adjudication (aka Six Basins),"PubCom - Similar issues with WQ in Raymond (4-23) that had a higher ""Documented Impacts"". Made both the same value of 3"
4-15,TIERRA REJADA,,South Coast,"4,611",0.0,Very Low,"3,673",2,127%,3,3,0.75,0,0,77,3%,97%,1,1,0,"1,598",4,1,Locally high nitrates documented in the basin (B-118).,,,
4-16,HIDDEN VALLEY,,South Coast,"2,217",0.0,Very Low,503,1,102%,0,15,1.5,2,4,11,0%,100%,1,1,0,"1,271",5,,,,,
4-17,LOCKWOOD VALLEY,,South Coast,"21,841",11.3,Low,241,1,112%,0,35,0.75,1,1,"3,500",89%,11%,2,5,3.5,0,0,5,"Boron, arsenic, and radioactive uranium in some wells (B-118).",,,
4-18,HUNGRY VALLEY,,South Coast,"5,324",0.0,Very Low,2,0,0%,0,0,0,1,2,0,0%,100%,0,0,0,0,0,1,Water is slightly alkaline (B-118).,,,
4-19,THOUSAND OAKS AREA,,South Coast,"3,115",0.0,Very Low,"17,202",4,103%,1,41,2.25,0,0,242,50%,50%,1,3,0,0,0,5,"High TDS, alkalinity, and hardness in the basin (B-118).",,,
4-2,OJAI VALLEY,,South Coast,"6,851",18.5,Medium,"8,268",2,94%,0,50,1.5,7,4,"5,873",97%,3%,5,5,5,"2,614",4,2,High nitrates and sulfates reported in the basin. Medium to high levels of nitrates reported in the basin.,,,
4-20,RUSSELL VALLEY,,South Coast,"3,087",0.0,Very Low,"18,860",4,93%,0,12,1.5,0,0,600,3%,97%,2,1,0,0,0,3,TDS and sulfate exceed MCL for some wells in the basin per Bulletin 118.,,,GW Use based on B118-03 data
4-22,MALIBU VALLEY,,South Coast,615,0.0,Very Low,563,2,100%,0,34,3.75,0,0,0,0%,100%,0,0,0,0,0,5,"Saline intrusion, high TDS and chlorides have been documented.",,,
4-23,RAYMOND,,South Coast,"26,310",20.8,Medium,"223,100",5,112%,2,33,0.75,79,5,"59,000",85%,15%,5,5,5,0,0,3,Water quality impacts and a superfund.,,,"GW Use based on watermaster report.  PubCom - Similar issues with WQ in San Gabriel (4-13) that had a lower ""Documented Impacts"" value. Made both the same value of 3."
4-3.01,VENTURA RIVER VALLEY,UPPER VENTURA RIVER,South Coast,"7,430",18.3,Medium,"15,961",3,83%,0,20,0.75,23,5,"4,000",90%,10%,4,5,4.5,"1,125",2,3,TDS is known to be high in some parts of the basin (B-118).,,,GW Use based on 'average' found in CASGEM monitoring plan
4-3.02,VENTURA RIVER VALLEY,LOWER VENTURA RIVER,South Coast,"5,312",0.0,Very Low,"15,920",3,102%,1,45,2.25,0,0,331,23%,77%,1,2,0,379,2,3,"Oil, high sulfates, nitrates, and hydrogen sulfide are documented to be present in the basin.",,,
4-4.02,SANTA CLARA RIVER VALLEY,OXNARD,South Coast,"58,200",26.8,High,"235,973",4,122%,3,147,0.75,68,4,"77,036",94%,6%,5,5,5,"49,616",5,5,"Saline intrusion, nitrates, pesticides, and PCBs have impacted some water wells per (B-118).",,,
4-4.03,SANTA CLARA RIVER VALLEY,MOUND,South Coast,"14,846",17.3,Medium,"77,886",4,111%,2,126,2.25,2,1,"7,330",83%,17%,3,5,4,"3,487",3,1,Some primary and secondary inorganic contaminants above the MCL (B-118).,,,
4-4.04,SANTA CLARA RIVER VALLEY,SANTA PAULA,South Coast,"22,899",20.5,Medium,"46,816",3,109%,1,79,1.5,13,3,"25,940",97%,3%,5,5,5,"12,014",4,3,"Nitrates can fluctuate significantly in the basin, and above MCL. Other inorganics present above MCL. TDS is known to be high.",,,GW Use based on 'average' found in CASGEM monitoring plan
4-4.05,SANTA CLARA RIVER VALLEY,FILLMORE,South Coast,"20,842",20.8,Medium,"16,417",2,116%,2,56,0.75,22,4,"44,350",99%,1%,0,0,5,"12,720",5,2,"Many groundwater quality impairments in the basin; Nitrates problematic during dry periods; High TDS, etc. (B-118). PubCom indicted WQ is localized and being managed",,,GW Use based on 'average' found in CASGEM monitoring plan
4-4.06,SANTA CLARA RIVER VALLEY,PIRU,South Coast,"8,915",21.8,High,"2,666",1,129%,4,20,0.75,5,3,"12,490",80%,20%,5,5,5,"4,977",5,3,"GW Quality impacts: nitrates, storm runoff, leaking tanks, etc. (B-118). High Selenium and other inorganics, average TDS was 1450 mg/l (Ventura co 2011 annual GW report)",,,GW Use based on 'average' found in CASGEM monitoring plan
4-4.07,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY EAST,South Coast,"66,417",22.8,High,"221,204",3,231%,5,527,2.25,71,4,"35,000",15%,85%,4,1,2.5,63,1,5,"GW Quality Impacts: Nitrates, TCE, TDS, perchlorates, etc. (B-118)",,,GW Use based on B118-03 data
4-5,ACTON VALLEY,,South Coast,"8,300",0.0,Very Low,"2,280",1,138%,4,230,3,16,5,"1,540",25%,75%,2,2,0,0,0,1,"Locally high concentrations of TDS, sulfate, and chloride and two wells in the basin with known concentrations of nitrates exceeding MCL (B-118).",,,GW Use based on B118-03 data
4-6,PLEASANT VALLEY,,South Coast,"21,654",22.5,High,"69,392",3,126%,3,71,1.5,17,4,"18,000",85%,15%,5,5,5,"17,309",5,1,PC - Discharge of poor quality GW from dewatering wells and effluent discharge from the wastewater treatment facility into the Arroyo Simi have led to rising water levels in the basin along with higher TDS and Chloride levels.,,,GW Use based on B118-03 and CASGEM monitoring plan data
4-7,ARROYO SANTA ROSA VALLEY,,South Coast,"3,747",19.8,Medium,"2,211",2,83%,0,6,0.75,5,4,"4,246",99%,1%,5,5,5,"2,368",5,3,"Elevated sulfates, nitrates, and TDS in the basin.(B-118)",,,
4-8,LAS POSAS VALLEY,,South Coast,"42,353",22.3,High,"39,835",2,118%,2,600,2.25,21,3,"38,000",98%,2%,5,5,5,"23,416",5,3,"TDS is generally high in this basin. PubCom includes reports of subsidence, overdraft and saline intrusion (chloride from adjacient basin?)",,,GW Use based on 2012 Fox Canyon WMA Reports (tbl 2) GW extraction of East+South+West Las Posas PubCom - 600 wells
4-9,SIMI VALLEY,,South Coast,"12,192",13.3,Low,"98,625",5,108%,1,10,0.75,3,2,"2,069",49%,51%,2,3,2.5,96,1,1,"VOCs, elevated TDS, and nitrates (B-118)",,,
5-1.01,GOOSE LAKE,GOOSE VALLEY,Sacramento River,"35,966",0.0,Very Low,57,0,121%,0,86,0.75,0,0,"8,512",31%,69%,0,0,0,"14,360",4,,,,,
5-1.02,GOOSE LAKE,FANDANGO VALLEY,Sacramento River,"18,439",0.0,Very Low,124,0,90%,0,73,1.5,2,1,"4,025",32%,68%,0,0,0,"6,830",4,,,,,
5-10,AMERICAN VALLEY,,Sacramento River,"6,799",0.0,Very Low,"3,931",2,100%,0,348,3.75,12,5,"1,501",15%,85%,2,1,0,"2,802",4,,,,,
5-11,MOHAWK VALLEY,,Sacramento River,"18,987",0.0,Very Low,"1,375",1,100%,0,344,3,11,3,607,13%,87%,1,1,0,"1,469",2,,,,,
5-12.01,SIERRA VALLEY,SIERRA VALLEY,Sacramento River,"117,680",19.5,Medium,"2,196",1,100%,5,561,1.5,16,1,"68,188",32%,68%,4,2,3,"81,465",5,3,"Declining GW Levels and artesian well production along the east and northeast side of the valley. Poor quality water in west-central side of valley (boron, fluoride, arsenic, & sodium).",,,
5-12.02,SIERRA VALLEY,CHILCOOT,Sacramento River,"7,551",0.0,Very Low,308,1,102%,0,125,3,5,3,300,2%,98%,1,1,0,"2,059",3,,,,,
5-13,UPPER LAKE VALLEY,,Sacramento River,"7,260",0.0,Very Low,"2,055",1,123%,3,367,3.75,9,4,"5,400",68%,32%,0,0,0,"2,880",4,,,,,"PubCom - Changed  irrigated acreage to 254 ac/sq. mi,  groundwater use of 0.74 ac-ft/ac, Calculated Volume is 5400 Af-ft, 68% of the total supply coming from GW"
5-14,SCOTTS VALLEY,,Sacramento River,"7,320",17.8,Medium,"6,553",2,97%,0,647,3.75,8,4,"5,124",80%,20%,4,4,4,"1,525",3,1,"Boron exceeds EPA maximum. Some additional WQ issues (inorganics and nitrates), but not signficant. Strong GW-SW interaction with Clear Lake.",,,"PubCom - Changed  irrigated acreage to 133 ac/sq. mi, GW Use of 0.70 ac-ft/ac, calc Volume is 5124 Af-ft, 80% of the total supply coming from GW."
5-15,BIG VALLEY,,Sacramento River,"24,212",15.8,Medium,"6,344",1,118%,2,"1,091",3.75,4,2,"12,832",70%,30%,4,4,4,"6,800",3,,,,,"PubCom - Changed  irrigated acreage to 180 ac/sq. mi, GW use of 0.53 ac-ft/ac, calculated Volume is 12,832 Af-ft, 70% of the total supply coming from GW."
5-16,HIGH VALLEY,,Sacramento River,"2,356",0.0,Very Low,34,1,150%,0,32,2.25,1,3,94,80%,20%,1,4,0,490,3,,,,,"PubCom - Changed  irrigated acreage to 133 ac/sq. mi,  GW use of 0.04 ac-ft/ac, Calculated GW volume is 94 Af-ft, 80% of the total supply coming from GW."
5-17,BURNS VALLEY,,Sacramento River,"2,873",0.0,Very Low,"2,691",2,139%,4,151,3.75,0,0,160,30%,70%,1,2,0,81,1,,,,,"PubCom - Changed  irrigated acreage to 18.5 ac/sq. mi, GW use of 0.07 ac-ft/ac (.06), volume is 160 Af-ft, 30% of the total supply coming from GW."
5-18,COYOTE VALLEY,,Sacramento River,"6,528",0.0,Very Low,"2,252",1,172%,5,138,3,2,2,"2,464",71%,29%,0,0,0,700,2,,,,,"PubCom - Changed  irrigated acreage to 67 ac/sq. mi, GW use of 0.377 ac-ft/ac, volume is 2464 Af-ft,  71% of the total supply coming from GW."
5-19,COLLAYOMI VALLEY,,Sacramento River,"6,497",0.0,Very Low,"1,513",1,137%,4,178,3,2,2,649,67%,33%,1,4,0,240,1,,,,,"PubCom - Changed irrigated acreage to 23 ac/sq. mi, GW use of 0.1 ac-ft/ac, volume is 649 Af-ft, 67% of the total supply coming from GW."
5-2.01,ALTURAS AREA,SOUTH FORK PITT RIVER,Sacramento River,"114,164",10.5,Low,"4,429",1,105%,0,714,1.5,9,1,"13,260",25%,75%,2,2,2,"35,874",4,1,Declining GW Levels in some parts of the basin.,,,
5-2.02,ALTURAS AREA,WARM SPRINGS VALLEY,Sacramento River,"68,009",9.5,Low,964,1,102%,0,257,1.5,10,1,"8,097",25%,75%,2,2,2,"15,365",3,,,1,"40' declining in GW levels since 2000, along the west side of the basin.",
5-20,BERRYESSA VALLEY,,Sacramento River,"1,375",0.0,Very Low,0,0,0%,0,2,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
5-21.50,SACRAMENTO VALLEY,RED BLUFF,Sacramento River,"274,489",16.0,Medium,"28,053",1,117%,2,"5,810",3,74,2,"90,000",51%,49%,3,3,3,"46,908",3,2,"Some GW quality impairments as per B-118, declining GW levels in west-side subdivision, and very high number of domestic GW use wells.",,,GW Use based on B118-03 and 2003 Tehama Co GW Inventory data
5-21.51,SACRAMENTO VALLEY,CORNING,Sacramento River,"205,473",19.5,Medium,"18,852",1,119%,2,"4,125",3,28,1,"160,000",63%,37%,5,4,4.5,"72,909",4,2,Continued GW level decline over most of the basin.,2,This basin is becoming increasing dependent on GW due to uncertain reliability of CVP TCCA surface water supply.,GW Use based on B118-03 and 2003 Tehama Co GW Inventory data
5-21.52,SACRAMENTO VALLEY,COLUSA,Sacramento River,"917,793",19.8,Medium,"48,369",1,123%,3,"9,695",2.25,135,1,"172,896",10%,90%,2,1,1.5,"572,927",5,3,Severely declining GW levels along the west-side of Glenn Co. Moderately declining GW levels in the Capay area. High TDS shallow aquifer in Maxwell- Williams area.,3,Increase in housing development along I5. GW-SW interaction is important to maintaining waterfowl refuges. Area is being highlighted as solution area for Delta outflow issues…proposed increase in CU and GW pumping.,
5-21.53,SACRAMENTO VALLEY,BEND,Sacramento River,"21,748",0.0,Very Low,554,1,102%,0,227,2.25,2,1,"1,008",48%,52%,1,3,0,649,1,,,,,
5-21.54,SACRAMENTO VALLEY,ANTELOPE,Sacramento River,"18,696",20.3,Medium,"6,124",1,105%,1,979,3.75,29,4,"20,000",73%,27%,5,4,4.5,"8,770",4,2,Nitrate issue in domestic wells.,,,GW Use based on B118-03 and 2003 Tehama Co GW Inventory data
5-21.55,SACRAMENTO VALLEY,DYE CREEK,Sacramento River,"27,709",13.8,Medium,"1,626",1,119%,0,371,2.25,4,1,"39,000",29%,71%,5,2,3.5,"6,097",3,1,Some documented Boron issues along east-side of basin.,2,Strong SW-GW interaction. GW Basin provides underflow to Mill Creek which supports endangered spring-run salmon.,GW Use based on B118-03 and 2003 Tehama Co GW Inventory data
5-21.56,SACRAMENTO VALLEY,LOS MOLINOS,Sacramento River,"33,148",14.3,Medium,"2,220",1,106%,0,489,2.25,9,2,"5,000",30%,70%,2,2,2,"6,204",3,1,Boron issues along east-side of basin.,3,GW basin provides underflow to Mill Creek which supports endangered spring-run salmon. High SW-GW interaction for much of the western basin.,GW Use based on 2003 Tehama Co GW Inventory data
5-21.57,SACRAMENTO VALLEY,VINA,Sacramento River,"124,577",22.8,High,"71,397",2,140%,4,"4,295",3.75,62,3,"155,000",87%,13%,5,5,5,"43,328",4,,,1,GW from this basin is a key source of SW inflow and serves eastside creeks which have endangered spring run.,GW Use based on B118-03 and 2005 Butte County Inventory data
5-21.58,SACRAMENTO VALLEY,WEST BUTTE,Sacramento River,"181,479",21.5,High,"36,152",1,136%,4,"3,660",3,37,2,"150,000",38%,62%,5,2,3.5,"116,582",5,2,Declining GW levels within the City of Chico and Durham areas (30-40' decline in mid-aquifer GW levels since 1998). High Nitrates in north and west Chico area. High density of GW contamination plumes surrounding City of Chico.,1,"GW serves as a source of underflow to Butte
Creek, which has endangered spring-run salmon.",GW Use based on B118-03 and 2005 Butte County Inventory data
5-21.59,SACRAMENTO VALLEY,EAST BUTTE,Sacramento River,"265,312",17.5,Medium,"38,465",1,132%,4,"4,436",3,48,2,"186,000",4%,96%,4,1,2.5,"144,305",4,,,1,GW basin provides underflow to Butte Creek which supports endangered spring-run salmon.,GW Use based on B118-03 and 2005 Butte County Inventory data
5-21.60,SACRAMENTO VALLEY,NORTH YUBA,Sacramento River,"103,152",14.3,Medium,"14,667",1,100%,1,"1,334",2.25,17,2,"70,000",25%,75%,4,2,3,"53,387",4,,,1,Strong SW-GW interaction with Feather and Yuba River,GW Use based on B118-03 and 2005 Butte County Inventory data
5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,Sacramento River,"104,486",14.5,Medium,"45,014",2,104%,1,"2,086",3,63,3,"17,206",9%,91%,2,1,1.5,"47,048",4,,,,,
5-21.62,SACRAMENTO VALLEY,SUTTER,Sacramento River,"234,264",17.5,Medium,"82,125",1,132%,4,"5,999",3,37,2,"175,300",7%,93%,4,1,2.5,"187,530",5,,,,,GW Use based on B118-03 data
5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN,Sacramento River,"340,170",22.5,High,"832,746",3,123%,3,"9,855",3,346,4,"399,000",24%,76%,5,2,3.5,"143,312",4,1,"From B118: Elevated levels of TDS, chloride, sodium, bicarbonate, boron, fluoride, nitrate, iron manganese, and arsenic may be of concern in some locations (DWR 1997). There are 3 sites with significant GW contamination in the basin.",1,From B118: GW levels in SW Placer County and northern Sacramento County have generally declined with many wells declining at a rate of about one and one-half feet per year for the last 40 years or more (PCWA 1999).,GW Use based on B118-03 data
5-21.65,SACRAMENTO VALLEY,SOUTH AMERICAN,Sacramento River,"247,745",22.3,High,"718,113",3,127%,3,"11,779",3.75,197,4,"76,465",27%,73%,3,2,2.5,"61,539",3,3,From B118: Montgomery Watson (1997) listed seven sites within the subbasin with significant GW contamination. From Sac County GWMP: Overall decreasing GW level trend over past 50 years (~30ft).,,,
5-21.66,SACRAMENTO VALLEY,SOLANO,Sacramento River,"424,832",15.5,Medium,"119,263",1,121%,3,"6,790",3,156,2,"69,149",10%,90%,2,1,1.5,"258,208",5,,,,,
5-21.67,SACRAMENTO VALLEY,YOLO,Sacramento River,"225,718",22.3,High,"194,158",2,125%,3,"7,329",3.75,131,3,"200,000",25%,75%,5,2,3.5,"128,860",5,2,Localized TDS problems preclude using GW for some M&I uses without treatment. Some subsidence in northeast of Davis and in northern Yolo.,,,"GW Use based on Yolo County CU Report, 1992.  http://www.dcn.davis.ca.us/dcn/projects/conjunctiveuse/index.html"
