"","OBJECTID","PWSID","POPSV_R","PWSName","BoundarySo","WaterUsed","coords.x1","coords.x2","optional"
"773",773,"3700073",50,"H & J WATER COMPANY","Approx","Ground",317445.7075,-547002.2971,TRUE
"774",774,"3700074",200,"CUYAMACA WATER DISTRICT","Approx","Ground",319975.346500002,-551885.0652,TRUE
"775",775,"3700422",100,"STUART WATER COMPANY","Approx","Ground",334334.554000001,-564515.9398,TRUE
"776",776,"3700859",290,"RANCHO DEL CAMPO WATER SYSTEM","Approx","Ground",333034.850400001,-594093.0985,TRUE
"777",777,"3700866",330,"DEL DIOS MUTUAL WATER COMPANY","Approx","Ground",268323.3519,-544856.0719,TRUE
"778",778,"3700900",300,"LAKE HENSHAW RESORT INC.","Approx","Ground",308871.528299998,-542334.1952,TRUE
"779",779,"3700905",230,"PINE HILLS MUTUAL WATER COMPANY","Approx","Both",316437.1206,-547021.0343,TRUE
"780",780,"3700909",578,"JULIAN COMMUNITY SERVICES DISTRICT","Approx","Ground",317936.500599999,-543457.9122,TRUE
"781",781,"3700922",300,"LIVE OAK SPRINGS WATER COMPANY","Approx","Ground",344541.5002,-583972.5233,TRUE
"782",782,"3700936",200,"RANCHO ESTATES MUTUAL WATER CO.","Approx","Ground",278109.721700002,-516479.9346,TRUE
"783",783,"3700937",70,"LAZY H MUTUAL WATER COMPANY","Approx","Ground",281971.533,-520395.4982,TRUE
"784",784,"3700938",400,"YUIMA MUNICIPAL WATER DISTRICT IDA","Approx","Both",284684.151500002,-521938.9873,TRUE
"785",785,"3700958",140,"LOS TULES MUTUAL WATER COMPANY","Approx","Ground",313604.868000001,-520611.446,TRUE
"786",786,"3700962",100,"OAKVALE PARK","Approx","Ground",281203.8915,-536264.6148,TRUE
"787",787,"3700968",350,"SAN PASQUAL ACADEMY","Approx","Ground",286298.501400001,-543086.8814,TRUE
"788",788,"3701184",350,"BUTTERFIELD RANCH","Approx","Ground",330363.5766,-555121.0032,TRUE
"789",789,"3701747",25,"NORTH PEAK MUTUAL WATER COMPANY","Approx","Ground",317562.736299999,-551276.0384,TRUE
"790",790,"3701780",28,"RICHARDSON BEARDSLEY PARK, INC.","Approx","Ground",317189.3259,-546815.0934,TRUE
"791",791,"3701837",120,"WYNOLA WATER DISTRICT","Approx","Ground",311279.703499999,-541027.4919,TRUE
"792",792,"3701860",150,"SANTIAGO ESTATES","Approx","Ground",339242.7322,-527270.6565,TRUE
"793",793,"3701934",350,"PINE VALLEY BIBLE CONFERENCE CENTER","Approx","Ground",359981.4069,-533609.3251,TRUE
"794",794,"3701961",200,"PINE VALLEY TRAILER PARK","Approx","Ground",321951.784299999,-568073.719,TRUE
"795",795,"3701988",125,"ALPINE OAKS ESTATES LLC","Approx","Ground",305616.271499999,-570830.9239,TRUE
"796",796,"3702354",345,"WARNER SPRINGS ESTATES","Approx","Ground",305023.9628,-512986.7945,TRUE
"797",797,"3710012",897,"RANCHO PAUMA MUTUAL WC","Approx","Ground",281404.092799999,-520110.8517,TRUE
"798",798,"3710302",10,"ANZA BORREGO SP - PALM CANYON","Approx","Ground",333861.958999999,-521123.1669,TRUE
"799",799,"3710311",4,"CUYAMACA SP - PASO PICACHO","Approx","Both",317974.432799999,-554250.6891,TRUE
"800",800,"3710312",1,"CUYAMACA SP - GREEN VALLEY","Approx","Ground",321291.687100001,-559636.2868,TRUE
"801",801,"3710750",4500,"NAS NORTH ISLAND & NAB CORONADO","Approx","Surface",277285.979800001,-575185.1636,TRUE
"802",802,"3710800",125,"PUERTA LA CRUZ CC #14","Approx","Ground",309399.486000001,-515408.1752,TRUE
"803",803,"3710801",115,"MCCAIN VALLEY CC #21","Approx","Ground",348707.349100001,-584458.0622,TRUE
"804",804,"3710802",96,"LA CIMA FIRE CENTER","Approx","Ground",322338.867800001,-559649.2612,TRUE
"805",805,"3810001",600,"SAN FRANCISCO REGIONAL WATER SYSTEM","Approx","Both",-194056.402799999,-30342.8105999995,TRUE
"806",806,"3810003",150,"HHW&P MOCCASIN COMPOUND-SFPUC","Approx","Surface",-25782.9195000008,-22613.3315999992,TRUE
"807",807,"3810006",10,"HHW&P-EARLY INTAKE CPD-SFPUC","Approx","Surface",3077.18989999965,-14865.7487000003,TRUE
"808",808,"3900504",120,"CLEMENTS WATER WORKS #43","Approx","Ground",-95651.6057000011,21381.1231999993,TRUE
"809",809,"3900512",105,"MORADA ACRES WATER SYSTEM","Approx","Ground",-87629.7637000009,-9032.14189999923,TRUE
"810",810,"3900517",60,"ALMOND PARK WATER SYSTEM","Approx","Ground",-109176.990699999,2417.24709999934,TRUE
"811",811,"3900523",109,"MORADA MANOR WATER SYSTEM","Approx","Ground",-110085.6525,767.015399999917,TRUE
"812",812,"3900555",81,"BANTA MUTUAL WATER CO #1","Approx","Ground",-110068.482000001,-4602.03079999983,TRUE
"813",813,"3900556",42,"BANTA MUTUAL WATER CO #2","Approx","Ground",-121035.5803,-24674.2569999993,TRUE
"814",814,"3900557",75,"BANTA MUTUAL WATER CO #3","Approx","Ground",-123019.934799999,-23381.5295000002,TRUE
"815",815,"3900558",141,"RANCHO SAN JOAQUIN WATER SYS","Approx","Ground",-123923.867699999,2849.62609999999,TRUE
"816",816,"3900561",104,"LODI LAKE MOBILE HOME PARK","Approx","Ground",-112813.862300001,16941.6941999998,TRUE
"817",817,"3900563",146,"GAYLA MANOR PWS","Approx","Ground",-119254.318399999,8853.86360000074,TRUE
"818",818,"3900568",180,"CARIBOU MOBILE PARK PWS","Approx","Ground",-107287.4802,-1490.88309999928,TRUE
"819",819,"3900569",60,"EL RIO MOBILE HOME PARK","Approx","Ground",-106377.890099999,-1865.95610000007,TRUE
"820",820,"3900586",50,"SYCAMORE MOBILE HOME PARK","Approx","Ground",-112127.407699998,21498.5308999997,TRUE
"821",821,"3900589",100,"MOSSDALE MOBILE HOME PARK","Approx","Ground",-113271.354899999,-26242.5686000008,TRUE
"822",822,"3900596",200,"VILLA CEREZOS","Approx","Ground",-108151.572900001,8762.79719999991,TRUE
"823",823,"3900602",200,"TAHAMA VILLAGE MOBILE HOME PARK","Approx","Ground",-111844.541900001,6481.7229999993,TRUE
"824",824,"3900603",100,"LEISURE MANOR","Approx","Ground",-107874.839499999,-6041.43080000021,TRUE
"825",825,"3900606",75,"A1 WINSTONS MOBILE HOME PARK","Approx","Ground",-109058.007399999,4395.9271000009,TRUE
"826",826,"3900607",64,"COUNTRY SQUIRE MOBILE ESTATES & WATER SY","Approx","Ground",-108781.023800001,-338.007099999115,TRUE
"827",827,"3900637",120,"BIG WHEEL MOBILE HOME PARK","Approx","Ground",-112555.736699998,7447.00799999945,TRUE
"828",828,"3900661",275,"MAPACHE TRAILER PARK","Approx","Ground",-104598.519400001,-9439.91750000045,TRUE
"829",829,"3900682",100,"LOCKEFORD MOBILE HOME PARK WTR SYS","Approx","Ground",-130542.352000002,24192.8277000003,TRUE
"830",830,"3900701",148,"CURRIER ESTATES WATER CORP","Approx","Ground",-131295.5502,-26592.3615000006,TRUE
"831",831,"3900702",98,"CORRAL HOLLOW PWS","Approx","Ground",-122503.867199998,-4335.79150000028,TRUE
"832",832,"3900711",75,"SIDHU MOBILE PARK WATER SYSTEM","Approx","Ground",-111449.209100001,-12032.5932999998,TRUE
"833",833,"3900719",55,"MOKELUMNE MEADOWS TRAILER PARK","Approx","Ground",-112628.934599999,16274.5122999996,TRUE
"834",834,"3900720",161,"SHADED TERRACE PWS","Approx","Ground",-107880.305799998,1568.05859999917,TRUE
"835",835,"3900721",110,"WOODBRIDGE MOBILE ESTATES","Approx","Ground",314882.989399999,-547309.8352,TRUE
"836",836,"3900722",158,"MORADA ESTATES PWS","Approx","Ground",-110806.0385,4646.7407000009,TRUE
"837",837,"3900724",200,"ELKHORN ESTATES WATER SYSTEM","Approx","Ground",-118023.516800001,7700.58070000075,TRUE
"838",838,"3900726",84,"BENTLEY TRAILER COURT","Approx","Ground",-106298.697000001,-8981.87820000015,TRUE
"839",839,"3900733",75,"COUNTRY CLUB VISTA","Approx","Ground",287748.885499999,-562730.1751,TRUE
"840",840,"3900762",55,"RIVERSIDE MOBILE HOME PARK","Approx","Ground",-130896.6175,25234.2634999994,TRUE
"841",841,"3900763",70,"WIMPYS MARINA","Approx","Ground",-132055.786499999,24151.4570000004,TRUE
"842",842,"3900805",300,"MOREHEAD PARK","Approx","Ground",-123042.521200001,-32007.1453000009,TRUE
"843",843,"3900816",25,"FLAGSTONE APARTMENTS","Approx","Ground",-109702.791499998,-22854.6440999992,TRUE
"844",844,"3900818",105,"LATHROP SANDS TRAILER COURT","Approx","Ground",-111936.922200002,-16592.7982000001,TRUE
"845",845,"3900835",70,"WAYSIDE MOTEL APARTMENTS WTR SYS","Approx","Ground",331580.633499999,-595412.1255,TRUE
"846",846,"3900837",39,"LODI HOMES","Approx","Ground",-111039.545200001,17520.2149,TRUE
"847",847,"3900842",320,"DOUBLE L MOBILE ESTATES","Approx","Ground",-99264.7595000006,14332.5727999993,TRUE
"848",848,"3900921",30,"CARDOZA VILLA CORP","Approx","Ground",334255.544399999,-577395.3081,TRUE
"849",849,"3900927",90,"SPRING CREEK ESTATES PWS","Approx","Ground",-96123.9215999991,-28423.7754999995,TRUE
"850",850,"3900947",200,"STOCKTON / LODI RV PARK","Approx","Ground",-108917.4813,1741.22189999931,TRUE
"851",851,"3900964",300,"SAHARA MOBILE COURT","Approx","Ground",331555.978100002,-594820.7742,TRUE
"852",852,"3900983",100,"CHERRY LANE TRAILER PARK","Approx","Ground",-101303.015900001,-3575.15909999982,TRUE
"853",853,"3900991",40,"LA TORRES PARK","Approx","Ground",-130747.045699999,-30930.3643999994,TRUE
"854",854,"3901031",100,"ORCHARD RESTAURANT","Approx","Ground",-112750.399500001,-40997.7591999993,TRUE
"855",855,"3901075",68,"FAIRWAY ESTATES PWS CSA-18","Approx","Ground",-114634.508900002,12037.7945000008,TRUE
"856",856,"3901081",130,"MOBILE VILLAS TRAILER PARK","Approx","Ground",-110392.461599998,-1751.92830000073,TRUE
"857",857,"3901092",293,"SAN JOAQUIN WATER WORKS #2","Approx","Ground",-105284.494100001,14379.3343000002,TRUE
"858",858,"3901113",100,"WALNUT ACRES","Approx","Ground",-109703.519099999,-1915.19140000083,TRUE
"859",859,"3901114",200,"KING ISLAND TRAILER PARK","Approx","Ground",-129147.153900001,5655.42699999921,TRUE
"860",860,"3901159",100,"WILKINSON MANOR A-ZONE PWS","Approx","Ground",-109563.111900002,4163.4299999997,TRUE
"861",861,"3901172",120,"PAR COUNTRY ESTATES CSA-16","Approx","Ground",-121026.599100001,-39354.7762000002,TRUE
"862",862,"3901213",30,"AVALOS, SILVIA","Approx","Ground",-105286.132199999,-7615.85429999977,TRUE
"863",863,"3901215",100,"SAN JUAN VISTA","Approx","Ground",-131324.186500002,25085.7799999993,TRUE
"864",864,"3901216",250,"SANTOS RANCH PWS #5-CSA #35","Approx","Ground",-134238.646400001,-26730.7443000004,TRUE
"865",865,"3901217",41,"HAYNES BOARD & CARE HOME","Approx","Ground",-105079.252500001,50203.7007999998,TRUE
"866",866,"3901276",38,"HANOT FOUNDATION INC","Approx","Ground",-98814.3262999989,14079.3274000008,TRUE
"867",867,"3901303",150,"ACAMPO WATER SYSTEM","Approx","Ground",-113581.7502,17243.5547000002,TRUE
"868",868,"3901337",180,"MORADA ESTATES N PWS #46","Approx","Ground",-108268.249499999,3223.1958000008,TRUE
"869",869,"3901348",1036,"FAIROAKS PWS #44","Approx","Ground",-127675.269499999,-35502.8998000007,TRUE
"870",870,"3910009",957,"SAN JOAQUIN COUNTY - THORNTON","Approx","Ground",-124117.148699999,22219.7263999991,TRUE
"871",871,"3910010",5865,"SAN JOAQUIN COUNTY - LINCOLN VILLAGE","Approx","Both",-115707.6653,-2810.21759999916,TRUE
"872",872,"3910014",1086,"SAN JOAQUIN COUNTY-RAYMUS VILLAGE","Approx","Ground",-105380.535599999,-18974.5022,TRUE
"873",873,"3910017",3640,"SAN JOAQUIN COUNTY-MOKELUMNE ACRES","Approx","Ground",-118964.503899999,13829.5792999994,TRUE
"874",874,"3910019",1450,"LINDEN COUNTY WATER DISTRICT","Approx","Ground",-98984.8053000011,800.605299999937,TRUE
"875",875,"3910020",590,"STOCKTON VERDE MOBILE HOME PARK","Approx","Ground",-109161.6294,-647.504399999976,TRUE
"876",876,"3910022",350,"LITTLE POTATO SLOUGH MUTUAL","Approx","Surface",-131473.763500001,11959.1140999999,TRUE
"877",877,"3910023",268,"OAKWOOD LAKE WATER DISTRICT-SUBDIVISION","Approx","Ground",-114356.377599999,-23048.5550999995,TRUE
"878",878,"3910024",861,"SAN JOAQUIN COUNTY - WILKINSON MANOR","Approx","Ground",-110871.346799999,3598.90269999951,TRUE
"879",879,"3910027",8960,"MOUNTAIN HOUSE COMMUNITY SERVICES DIST.","Approx","Surface",-143372.505000001,-23448.3213,TRUE
"880",880,"3910029",148,"OAKWOOD LAKE MOBILE HOME PARK","Approx","Ground",-104550.8112,-62512.4892999995,TRUE
"881",881,"3910800",4544,"DEUEL VOCATIONAL INSTITUTION","Approx","Ground",-119441.596799999,-27339.6031999998,TRUE
"882",882,"3910802",6000,"NORTHERN CALIF YOUTH CORR. CENTER","Approx","Both",-98092.7853999995,-14611.9403000008,TRUE
"883",883,"4000200",85,"BASSI RANCH MUTUAL WATER CO.","Approx","Ground",-65623.5773000009,-312432.1601,TRUE
"884",884,"4000202",60,"EDNA RANCH MUTUAL WATER CO-EAST","Approx","Ground",-52466.5066,-312195.5471,TRUE
"885",885,"4000214",25,"BARON CANYON MUTUAL WATER CO.","Approx","Ground",-53615.4393000007,-329295.0874,TRUE
"886",886,"4000230",125,"CANYON CREST MUTUAL BENEFIT WC","Approx","Both",-51129.3720999993,-321083.2729,TRUE
"887",887,"4000501",105,"HALCYON WATER SYSTEM","Approx","Ground",-53712.4276000001,-324742.8369,TRUE
"888",888,"4000506",500,"WOODLAND PARK MUTUAL WATER CO","Approx","Ground",-51669.8984000012,-329022.243,TRUE
"889",889,"4000507",240,"GARDEN FARMS C.W.D.","Approx","Ground",-56211.6239,-290219.3768,TRUE
"890",890,"4000523",220,"S & T MUTUAL WATER COMPANY","Approx","Ground",-78398.6594999991,-298467.5504,TRUE
"891",891,"4000554",350,"GREEN RIVER MUTUAL WATER CO.","Approx","Ground",-46385.3238999993,-281452.3777,TRUE
"892",892,"4000563",30,"HIGUERA APARTMENTS","Approx","Ground",-61693.7747999988,-306832.3699,TRUE
"893",893,"4000631",40,"ALMIRA WATER ASSOCIATION","Approx","Ground",-62368.1521000005,-269752.2501,TRUE
"894",894,"4000637",60,"COUNTRY HILLS ESTATES","Approx","Ground",-51817.0326000005,-319515.719,TRUE
"895",895,"4000649",420,"LOS ROBLES MOBILE HOME ESTATES","Approx","Ground",-64318.8449000008,-273512.5409,TRUE
"896",896,"4000650",800,"MESA DUNES MOBILE HOME ESTATES","Approx","Ground",-49439.7270000018,-324334.8564,TRUE
"897",897,"4000660",45,"BEAR VALLEY WATER COMPANY","Approx","Ground",-64187.6517999992,-304568.6159,TRUE
"898",898,"4000670",486,"WALNUT HILLS MUTUAL WATER CO","Approx","Ground",-62979.2263999991,-270878.6823,TRUE
"899",899,"4000678",75,"TALLEY FARMS LABOR HOUSING","Approx","Ground",-46327.3795999996,-314722.4952,TRUE
"900",900,"4000705",80,"LAGUNA NEGRA MUTUAL WATER CO.","Approx","Ground",-52717.5115999989,-328475.3365,TRUE
"901",901,"4000716",65,"AVILA VALLEY MUTUAL WATER CO","Approx","Both",-64650.1308000013,-314758.2287,TRUE
"902",902,"4000741",60,"H2O, INC","Approx","Ground",-52652.6103999987,-315837.2873,TRUE
"903",903,"4000744",75,"AFUERA DE CHORRO WATER COMPANY","Approx","Ground",-59090.1378999986,-306440.7333,TRUE
"904",904,"4000749",35,"TERRA DE ORO WATER COMPANY","Approx","Ground",-50947.2903000005,-319982.7637,TRUE
"905",905,"4000750",55,"RIM ROCK WATER COMPANY","Approx","Ground",-45057.7192000002,-325444.8466,TRUE
"906",906,"4000765",120,"VARIAN RANCH MUTUAL WATER","Approx","Ground",-49896.8647999987,-314059.1456,TRUE
"907",907,"4000771",65,"RANCHO NIPOMO WATER COMPANY","Approx","Ground",-46659.6761000007,-326462.6148,TRUE
"908",908,"4000775",30,"MUSTANG SPRINGS MUTUAL WATER","Approx","Ground",-62863.0056999996,-264376.7379,TRUE
"909",909,"4000789",40,"SPANISH LAKES MUTUAL WATER CO","Approx","Ground",-61779.8643999994,-271240.8535,TRUE
"910",910,"4000802",25,"SANTA YSABEL RANCH MWC","Approx","Ground",-62828.3599999994,-270104.5054,TRUE
"911",911,"4000803",50,"RANCHO SALINAS  MBWC","Approx","Ground",-64006.5153999999,-261184.9766,TRUE
"912",912,"4000815",100,"LAS VENTANAS RANCH","Approx","Ground",-47537.8372999988,-315267.5813,TRUE
"913",913,"4010003",1385,"SAN MIGUELITO MWC","Approx","Both",-73240.6541999988,-309764.4203,TRUE
"914",914,"4010024",1259,"SLO CWWD NO. 23 - SANTA MARGARITA","Approx","Ground",-53306.9004000016,-290295.8305,TRUE
"915",915,"4010027",290,"NACIMIENTO WATER COMPANY","Approx","Both",-88753.0954000019,-251370.4774,TRUE
"916",916,"4010028",1295,"SLO CSA NO. 16 - SHANDON","Approx","Ground",-38569.7672999986,-262605.7247,TRUE
"917",917,"4010040",2010,"RURAL WATER COMPANY","Approx","Ground",-53887.8172999993,-328162.4163,TRUE
"918",918,"4010080",1,"NACIMIENTO WATER PROJECT","Approx","Surface",-87262.3588000014,-253209.4756,TRUE
"919",919,"4010830",15000,"CALIFORNIA MENS COLONY","Approx","Both",-64409.4415999986,-293559.169,TRUE
"920",920,"4100502",2,"UC ELKUS RANCH","Approx","Surface",-212517.7226,-63248.0612000003,TRUE
"921",921,"4100504",10,"WEBB RANCH","Approx","Ground",-192510.213300001,-60666.4461000003,TRUE
"922",922,"4100509",300,"COUNTY SERVICE AREA 7","Approx","Surface",-201952.916099999,-78510.0559999999,TRUE
"923",923,"4100529",20,"CAMP LOMA MAR","Approx","Both",-201045.0911,-81480.4067000002,TRUE
"924",924,"4100531",20,"LOG CABIN RANCH","Approx","Both",-198235.1194,-76589.6734999996,TRUE
"925",925,"4100536",5,"SAN MATEO COUNTY MEMORIAL PARK","Approx","Both",-201407.3433,-80466.3516000006,TRUE
"926",926,"4100538",44,"CAMP JONES GULCH","Approx","Ground",-202432.3028,-78361.3696999997,TRUE
"927",927,"4100540",35,"OKU INC","Approx","Both",-208985.6527,-84754.0363999996,TRUE
"928",928,"4100551",25,"MARCHI CENTRAL FARM","Approx","Ground",-214535.357899999,-83450.5870999992,TRUE
"929",929,"4100583",50,"BIANCHI FLOWERS INC","Approx","Ground",-196346.6467,-87408.6258000005,TRUE
"930",930,"4100603",8,"COSTANOA CAMPGROUND","Approx","Ground",-208022.4353,-93026.4912999999,TRUE
"931",931,"4110001",28050,"MID-PENINSULA WATER DISTRICT","Approx","Surface",-177172.0098,-108192.434699999,TRUE
"932",932,"4110010",5412,"MONTARA WATER AND SANITARY DISTRICT","Approx","Both",-216953.9757,-48789.6248000003,TRUE
"933",933,"4110015",1650,"SKYLINE COUNTY WATER DISTRICT","Approx","Both",-197555.9867,-63522.9980999995,TRUE
"934",934,"4110024",28000,"CITY OF EAST PALO ALTO","Approx","Both",-195398.2401,-110064.5363,TRUE
"935",935,"4110025",38390,"NORTH COAST COUNTY WATER DIST","Approx","Surface",-222688.767200001,-47198.5059999991,TRUE
"936",936,"4110027",13259,"WESTBOROUGH COUNTY WATER DIST","Approx","Surface",-220722.483100001,-16725.1668999996,TRUE
"937",937,"4200505",60,"CACHUMA VILLAGE","Approx","Ground",1250.9375,-379752.0645,TRUE
"938",938,"4200531",240,"RANCHO MARCELINO WATER & SERV.","Approx","Ground",-9301.3088000007,-382356.4158,TRUE
"939",939,"4200556",150,"FOSTER ROAD MWC","Approx","Ground",-7332.01689999923,-388630.0542,TRUE
"940",940,"4200572",200,"LAS POSITAS MWC","Approx","Ground",25645.9543000013,-399465.7525,TRUE
"941",941,"4200578",243,"PAINTED CAVE MWC","Approx","Ground",23910.938000001,-389628.0932,TRUE
"942",942,"4200579",38,"ROSARIO PARK WATER SYSTEM","Approx","Surface",15690.5359000005,-387844.9005,TRUE
"943",943,"4200580",120,"SAN MARCOS MWC","Approx","Both",18693.4736000001,-391352.7534,TRUE
"944",944,"4200612",150,"MEADOWLARK RANCHES MWC","Approx","Ground",-6628.04610000178,-380398.024,TRUE
"945",945,"4200631",30,"LOS PRIETOS IMP ASSOC","Approx","Ground",20987.6180999987,-385128.5514,TRUE
"946",946,"4200633",55,"LINGATE MUTUAL WATER CO","Approx","Ground",33377.0236000009,-398471.0914,TRUE
"947",947,"4200678",45,"SANTA ANITA MWC","Approx","Ground",-21370.0909999982,-390834.5152,TRUE
"948",948,"4200684",186,"LINCOLNWOOD MUTUAL WATER","Approx","Ground",22449.4180000015,-395188.5763,TRUE
"949",949,"4200693",186,"ELLWOOD MUTUAL WATER CO.","Approx","Ground",12885.0309000015,-399365.7058,TRUE
"950",950,"4200702",75,"VIEJA MUTUAL WATER CO.","Approx","Ground",19764.7534000017,-400739.0678,TRUE
"951",951,"4200703",135,"EL CAPITAN MUTUAL WATER CO","Approx","Ground",-3430.64460000023,-395065.8325,TRUE
"952",952,"4200714",50,"SAN AUGUSTINE MWC","Approx","Ground",-30463.8524999991,-391928.8785,TRUE
"953",953,"4200721",60,"NAPLES WATER COMPANY","Approx","Both",5029.64710000157,-393758.1074,TRUE
"954",954,"4200731",54,"ALEGRIA MWC","Approx","Ground",-26037.7947000004,-389822.689,TRUE
"955",955,"4200733",70,"MONTECITO SEA MEADOW MWC","Approx","Ground",18314.9109000005,-401224.5544,TRUE
"956",956,"4200804",54,"WALKING M RANCHES ASSN.","Approx","Ground",-8804.67480000108,-371552.5969,TRUE
"957",957,"4200822",66,"SANTA RITA WATER CO","Approx","Ground",-33170.0419000015,-370044.6695,TRUE
"958",958,"4200827",45,"SANTA YNEZ ROBLAR MHP","Approx","Ground",-6652.89550000057,-375882.9767,TRUE
"959",959,"4200842",250,"SAINT MARIE MOBILE HOME PARK","Approx","Ground",-42164.9767000005,-339440.5997,TRUE
"960",960,"4200848",75,"VISTA HILLS MWC","Approx","Ground",-29214.8077000007,-373239.1082,TRUE
"961",961,"4200851",66,"ROLLING HILLS WATER ASSN.","Approx","Ground",-35662.6832000017,-350174.5697,TRUE
"962",962,"4200862",54,"MESA HILLS MWC                   OS","Approx","Ground",-13741.6251999997,-378941.4145,TRUE
"963",963,"4200870",234,"CASMALIA COMM. SERVICE DIST.","Approx","Ground",-47331.3676000014,-345345.1568,TRUE
"964",964,"4200881",210,"OAK TRAIL ESTATES MWC","Approx","Ground",-4104.01049999893,-370021.0044,TRUE
"965",965,"4200891",120,"BOBCAT SPRINGS MWC","Approx","Ground",-19174.7344999984,-374918.2042,TRUE
"966",966,"4210003",7080,"GUADALUPE WATER DEPARTMENT","Approx","Both",-57484.6788999997,-341303.9586,TRUE
"967",967,"4300504",100,"ARROWHEAD COOPERATIVE COMPANY","Approx","Surface",-177573.942600001,-83083.0513000004,TRUE
"968",968,"4300516",338,"ALDERCROFT HEIGHTS COUNTY WATER DISTRICT","Approx","Both",-170128.461300001,-93751.3322000001,TRUE
"969",969,"4300517",340,"CHEMEKETA PARK MUTUAL WATER COMPANY","Approx","Both",-173465.371200001,-94908.8781000003,TRUE
"970",970,"4300520",135,"IDYLWILD WATER SYSTEM","Approx","Surface",-170655.568,-89587.3147999998,TRUE
"971",971,"4300522",125,"LAKE CANYON MUTUAL WATER COMPANY","Approx","Both",-177482.0888,-90612.3875999991,TRUE
"972",972,"4300542",600,"SAN MARTIN COUNTY WATER DISTRICT","Approx","Ground",-143870.859300001,-102858.8992,TRUE
"973",973,"4300546",150,"SIERRA ROAD IMPROVEMENT ASSOCIATION, INC","Approx","Surface",-152935.4296,-73225.4757000003,TRUE
"974",974,"4300549",37,"SHADY LANE MUTUAL WATER SYSTEM-INACTIVE","Approx","Surface",-172542.232799999,-86516.5519999992,TRUE
"975",975,"4300551",220,"HAPPY ACRES MWC","Approx","Ground",-146808.5206,-109790.1735,TRUE
"976",976,"4300560",180,"GREEN MOUNTAIN WATER COMPANY","Approx","Ground",-147899.2544,-99257.5361000001,TRUE
"977",977,"4300567",132,"BURCHELL ROAD WATER COMPANY","Approx","Ground",-146387.5395,-107941.097100001,TRUE
"978",978,"4300571",64,"SULLIVAN MUTUAL WATER","Approx","Ground",-151530.1369,-92509.8301999997,TRUE
"979",979,"4300573",53,"GREEN ACRES MUTUAL WATER","Approx","Ground",-147746.1097,-99897.3237999994,TRUE
"980",980,"4300575",250,"TWIN VALLEY, INC.","Approx","Ground",-147835.6152,-103361.088300001,TRUE
"981",981,"4300577",112,"RANCHO ROBLES MUTUAL WATER COMPANY","Approx","Ground",-139476.436799999,-96571.1270000003,TRUE
"982",982,"4300578",52,"ANGELO LANE WATER COMPANY","Approx","Ground",-134697.6722,-108498.195800001,TRUE
"983",983,"4300581",75,"VELLADAO MOBILE HOME PARK","Approx","Ground",-140395.1394,-112406.5045,TRUE
"984",984,"4300603",100,"OAK DELL PARK","Approx","Ground",-147470.888900001,-105577.9882,TRUE
"985",985,"4300614",9,"SVEADAL WATER SYSTEM","Approx","Ground",-159221.1031,-100671.4024,TRUE
"986",986,"4300630",28,"FOOTHILL MUTUAL WATER","Approx","Ground",-143058.8355,-97555.9518999998,TRUE
"987",987,"4300637",58,"LOS RANCHOS DE UVAS WATER COMPANY","Approx","Ground",-146961.4208,-106954.5902,TRUE
"988",988,"4300638",140,"SAN MARTIN FOOTHILLS WATER COMPANY","Approx","Ground",-140424.1755,-103633.3499,TRUE
"989",989,"4300715",75,"TWIN CREEKS PROPERTIES","Approx","Ground",-163843.522500001,-95403.3671000004,TRUE
"990",990,"4300740",37,"MOUNTAIN SPRINGS MUTUAL WATER COMPANY","Approx","Ground",-172458.8685,-94162.3077000007,TRUE
"991",991,"4300766",15,"SARATOGA SPRINGS, INC.","Approx","Surface",-182591.0655,-82830.5625,TRUE
"992",992,"4300770",110,"THREE SPRINGS RANCH MUTUAL WATER COMPANY","Approx","Ground",-154772.527000001,-70578.0446000006,TRUE
"993",993,"4300771",225,"NEW AVENUE MUTUAL WATER COMPANY","Approx","Ground",-137441.4987,-105561.979,TRUE
"994",994,"4300792",50,"ABORN HEIGHTS WATER MUTUAL ASSOCIATION","Approx","Ground",-156108.0373,-75270.2190000005,TRUE
"995",995,"4300831",110,"MT. EDEN MUTUAL WATER COMPANY","Approx","Surface",-177402.318499999,-84581.0011999998,TRUE
"996",996,"4300832",110,"SOUTH COUNTY RETIREMENT HOME","Approx","Ground",-140691.541999999,-103905.4866,TRUE
"997",997,"4300834",450,"CAMP SARATOGA","Approx","Both",-185996.0976,-85054.5363999996,TRUE
"998",998,"4300856",65,"SPRING VALLEY HEIGHTS ASSOCIATION, INC.","Approx","Ground",-163013.906199999,-59130.1176999994,TRUE
"999",999,"4300909",50,"LICK OBSERVATORY-UCSC","Approx","Surface",-146201.1832,-75244.0483999997,TRUE
"1000",1000,"4300912",104,"MECCHI WATER COMPANY","Approx","Ground",-142504.8432,-101585.4717,TRUE
"1001",1001,"4300924",250,"PARKWAY LAKES RV PARK","Approx","Ground",-148917.328600001,-91685.2344000004,TRUE
"1002",1002,"4300943",150,"FARMERS LABOR EXCHANGE","Approx","Ground",-136683.1643,-112122.8488,TRUE
"1003",1003,"4300949",1,"MT. HAMILTON GRANDVIEW RESTAURANT","Approx","Ground",-157084.5375,-71143.6174999997,TRUE
